origin1;origin2;origin3;origin4;religion1;religion2;religion3;religion4;location
Thailand;Cuba;Algeria;Japan;Budhist;Christian;Muslim;Shintoist;Algeria
Japan;Algeria;Cuba;Vietnam;Shintoist;Muslim;Christian;Budhist;Cuba
India;Cuba;Japan;Egypt;Hindu;Christian;Shintoist;Muslim;Cuba
Cuba;Japan;Egypt;Nepal;Christian;Shintoist;Muslim;Hindu;Japan
Cuba;Japan;Egypt;Thailand;Christian;Shintoist;Muslim;Budhist;Egypt
Cuba;Japan;Egypt;Vietnam;Christian;Shintoist;Muslim;Budhist;Cuba
India;Sudan;Japan;Cuba;Hindu;Muslim;Shintoist;Christian;Japan
Japan;Nepal;Cuba;Sudan;Shintoist;Hindu;Christian;Muslim;Nepal
Thailand;Cuba;Japan;Sudan;Budhist;Christian;Shintoist;Muslim;Sudan
Cuba;Vietnam;Japan;Sudan;Christian;Budhist;Shintoist;Muslim;Vietnam
Thailand;Japan;Bangladesh;Cuba;Budhist;Shintoist;Muslim;Christian;Japan
Japan;Vietnam;Bangladesh;Cuba;Shintoist;Budhist;Muslim;Christian;Bangladesh
Cuba;Thailand;India;Japan;Christian;Budhist;Hindu;Shintoist;Thailand
Cuba;Japan;Vietnam;India;Christian;Shintoist;Budhist;Hindu;Cuba
Nepal;Cuba;Japan;Thailand;Hindu;Christian;Shintoist;Budhist;Nepal
Vietnam;Cuba;Japan;Nepal;Budhist;Christian;Shintoist;Hindu;Cuba
Cuba;Thailand;Pakistan;Japan;Christian;Budhist;Muslim;Shintoist;Thailand
Vietnam;Cuba;Japan;Pakistan;Budhist;Christian;Shintoist;Muslim;Cuba
India;Thailand;Iran;Cuba;Hindu;Budhist;Muslim;Christian;Iran
Cuba;Iran;Vietnam;India;Christian;Muslim;Budhist;Hindu;Iran
Iran;Thailand;Cuba;Nepal;Muslim;Budhist;Christian;Hindu;Cuba
Iran;Vietnam;Cuba;Nepal;Muslim;Budhist;Christian;Hindu;Nepal
Iraq;India;Cuba;Thailand;Muslim;Hindu;Christian;Budhist;Cuba
Cuba;India;Iraq;Vietnam;Christian;Hindu;Muslim;Budhist;Iraq
Iraq;Cuba;Thailand;Nepal;Muslim;Christian;Budhist;Hindu;Nepal
Nepal;Vietnam;Iraq;Cuba;Hindu;Budhist;Muslim;Christian;Iraq
Thailand;Cuba;Turkey;India;Budhist;Christian;Muslim;Hindu;Cuba
Turkey;Vietnam;Cuba;India;Muslim;Budhist;Christian;Hindu;Turkey
Cuba;Thailand;Nepal;Turkey;Christian;Budhist;Hindu;Muslim;Thailand
Vietnam;Turkey;Cuba;Nepal;Budhist;Muslim;Christian;Hindu;Turkey
Thailand;Algeria;Cuba;India;Budhist;Muslim;Christian;Hindu;Thailand
Vietnam;Cuba;India;Algeria;Budhist;Christian;Hindu;Muslim;India
Algeria;Thailand;Cuba;Nepal;Muslim;Budhist;Christian;Hindu;Algeria
Vietnam;Algeria;Nepal;Cuba;Budhist;Muslim;Hindu;Christian;Nepal
Cuba;Thailand;India;Egypt;Christian;Budhist;Hindu;Muslim;Cuba
Cuba;India;Vietnam;Egypt;Christian;Hindu;Budhist;Muslim;India
Nepal;Egypt;Thailand;Cuba;Hindu;Muslim;Budhist;Christian;Nepal
Nepal;Cuba;Egypt;Vietnam;Hindu;Christian;Muslim;Budhist;Egypt
Sudan;Cuba;Thailand;India;Muslim;Christian;Budhist;Hindu;Thailand
Sudan;India;Vietnam;Cuba;Muslim;Hindu;Budhist;Christian;Cuba
Sudan;Thailand;Nepal;Cuba;Muslim;Budhist;Hindu;Christian;Cuba
Cuba;Vietnam;Nepal;Sudan;Christian;Budhist;Hindu;Muslim;Vietnam
China;India;Uzbekistan;Dominican Republic;Non-religious;Hindu;Muslim;Christian;Dominican Republic
Uzbekistan;China;Dominican Republic;Nepal;Muslim;Non-religious;Christian;Hindu;Uzbekistan
China;Thailand;Uzbekistan;Dominican Republic;Non-religious;Budhist;Muslim;Christian;Uzbekistan
Dominican Republic;Uzbekistan;China;Vietnam;Christian;Muslim;Non-religious;Budhist;Dominican Republic
Uzbekistan;India;Dominican Republic;Japan;Muslim;Hindu;Christian;Shintoist;Uzbekistan
Japan;Dominican Republic;Nepal;Uzbekistan;Shintoist;Christian;Hindu;Muslim;Nepal
Dominican Republic;Uzbekistan;Thailand;Japan;Christian;Muslim;Budhist;Shintoist;Thailand
Japan;Uzbekistan;Vietnam;Dominican Republic;Shintoist;Muslim;Budhist;Christian;Vietnam
Thailand;Uzbekistan;Dominican Republic;India;Budhist;Muslim;Christian;Hindu;Thailand
Dominican Republic;Vietnam;Uzbekistan;India;Christian;Budhist;Muslim;Hindu;Uzbekistan
Uzbekistan;Nepal;Thailand;Dominican Republic;Muslim;Hindu;Budhist;Christian;Nepal
Dominican Republic;Uzbekistan;Nepal;Vietnam;Christian;Muslim;Hindu;Budhist;Vietnam
India;Dominican Republic;Iran;China;Hindu;Christian;Muslim;Non-religious;Iran
Iran;China;Nepal;Dominican Republic;Muslim;Non-religious;Hindu;Christian;China
Iran;China;Dominican Republic;Thailand;Muslim;Non-religious;Christian;Budhist;Iran
China;Iran;Vietnam;Dominican Republic;Non-religious;Muslim;Budhist;Christian;China
China;Dominican Republic;India;Iraq;Non-religious;Christian;Hindu;Muslim;Iraq
Dominican Republic;Nepal;China;Iraq;Christian;Hindu;Non-religious;Muslim;Iraq
Dominican Republic;China;Iraq;Thailand;Christian;Non-religious;Muslim;Budhist;China
Iraq;Vietnam;Dominican Republic;China;Muslim;Budhist;Christian;Non-religious;Vietnam
Dominican Republic;India;China;Turkey;Christian;Hindu;Non-religious;Muslim;India
Turkey;Nepal;Dominican Republic;China;Muslim;Hindu;Christian;Non-religious;Turkey
Thailand;Turkey;China;Dominican Republic;Budhist;Muslim;Non-religious;Christian;Thailand
Turkey;Vietnam;China;Dominican Republic;Muslim;Budhist;Non-religious;Christian;Vietnam
Algeria;India;Dominican Republic;China;Muslim;Hindu;Christian;Non-religious;Algeria
Nepal;China;Algeria;Dominican Republic;Hindu;Non-religious;Muslim;Christian;China
China;Thailand;Algeria;Dominican Republic;Non-religious;Budhist;Muslim;Christian;China
China;Vietnam;Dominican Republic;Algeria;Non-religious;Budhist;Christian;Muslim;Vietnam
India;Egypt;Dominican Republic;China;Hindu;Muslim;Christian;Non-religious;India
Dominican Republic;Egypt;China;Nepal;Christian;Muslim;Non-religious;Hindu;Nepal
Dominican Republic;Egypt;Thailand;China;Christian;Muslim;Budhist;Non-religious;China
Vietnam;Dominican Republic;Egypt;China;Budhist;Christian;Muslim;Non-religious;Vietnam
China;Dominican Republic;Sudan;India;Non-religious;Christian;Muslim;Hindu;Dominican Republic
Sudan;Dominican Republic;China;Nepal;Muslim;Christian;Non-religious;Hindu;Sudan
Dominican Republic;Thailand;China;Sudan;Christian;Budhist;Non-religious;Muslim;Dominican Republic
Sudan;Vietnam;China;Dominican Republic;Muslim;Budhist;Non-religious;Christian;China
Thailand;China;Bangladesh;Dominican Republic;Budhist;Non-religious;Muslim;Christian;China
Vietnam;Bangladesh;Dominican Republic;China;Budhist;Muslim;Christian;Non-religious;China
Dominican Republic;Thailand;China;India;Christian;Budhist;Non-religious;Hindu;India
China;Vietnam;Dominican Republic;India;Non-religious;Budhist;Christian;Hindu;China
Thailand;Dominican Republic;Nepal;China;Budhist;Christian;Hindu;Non-religious;China
Nepal;China;Vietnam;Dominican Republic;Hindu;Non-religious;Budhist;Christian;Nepal
China;Thailand;Dominican Republic;Pakistan;Non-religious;Budhist;Christian;Muslim;China
China;Vietnam;Dominican Republic;Pakistan;Non-religious;Budhist;Christian;Muslim;Vietnam
Japan;India;Dominican Republic;Iran;Shintoist;Hindu;Christian;Muslim;Dominican Republic
Dominican Republic;Iran;Nepal;Japan;Christian;Muslim;Hindu;Shintoist;Nepal
Thailand;Dominican Republic;Iran;Japan;Budhist;Christian;Muslim;Shintoist;Dominican Republic
Japan;Iran;Vietnam;Dominican Republic;Shintoist;Muslim;Budhist;Christian;Iran
Iraq;Japan;Dominican Republic;India;Muslim;Shintoist;Christian;Hindu;Japan
Nepal;Iraq;Dominican Republic;Japan;Hindu;Muslim;Christian;Shintoist;Iraq
Japan;Iraq;Thailand;Dominican Republic;Shintoist;Muslim;Budhist;Christian;Thailand
Vietnam;Japan;Dominican Republic;Iraq;Budhist;Shintoist;Christian;Muslim;Vietnam
India;Dominican Republic;Turkey;Japan;Hindu;Christian;Muslim;Shintoist;Japan
Nepal;Dominican Republic;Japan;Turkey;Hindu;Christian;Shintoist;Muslim;Dominican Republic
Thailand;Dominican Republic;Turkey;Japan;Budhist;Christian;Muslim;Shintoist;Dominican Republic
Dominican Republic;Turkey;Japan;Vietnam;Christian;Muslim;Shintoist;Budhist;Japan
India;Japan;Dominican Republic;Algeria;Hindu;Shintoist;Christian;Muslim;Japan
Nepal;Algeria;Japan;Dominican Republic;Hindu;Muslim;Shintoist;Christian;Algeria
Japan;Dominican Republic;Thailand;Algeria;Shintoist;Christian;Budhist;Muslim;Algeria
Japan;Dominican Republic;Algeria;Vietnam;Shintoist;Christian;Muslim;Budhist;Japan
Egypt;Dominican Republic;Japan;India;Muslim;Christian;Shintoist;Hindu;Egypt
Dominican Republic;Nepal;Egypt;Japan;Christian;Hindu;Muslim;Shintoist;Dominican Republic
Thailand;Dominican Republic;Egypt;Japan;Budhist;Christian;Muslim;Shintoist;Egypt
Japan;Dominican Republic;Egypt;Vietnam;Shintoist;Christian;Muslim;Budhist;Japan
India;Sudan;Dominican Republic;Japan;Hindu;Muslim;Christian;Shintoist;India
Nepal;Sudan;Dominican Republic;Japan;Hindu;Muslim;Christian;Shintoist;Dominican Republic
Sudan;Thailand;Japan;Dominican Republic;Muslim;Budhist;Shintoist;Christian;Dominican Republic
Vietnam;Dominican Republic;Japan;Sudan;Budhist;Christian;Shintoist;Muslim;Vietnam
Bangladesh;Japan;Thailand;Dominican Republic;Muslim;Shintoist;Budhist;Christian;Dominican Republic
Dominican Republic;Bangladesh;Vietnam;Japan;Christian;Muslim;Budhist;Shintoist;Japan
Thailand;Dominican Republic;Japan;India;Budhist;Christian;Shintoist;Hindu;Japan
Vietnam;India;Dominican Republic;Japan;Budhist;Hindu;Christian;Shintoist;India
Dominican Republic;Japan;Nepal;Thailand;Christian;Shintoist;Hindu;Budhist;Nepal
Vietnam;Nepal;Dominican Republic;Japan;Budhist;Hindu;Christian;Shintoist;Nepal
Pakistan;Dominican Republic;Thailand;Japan;Muslim;Christian;Budhist;Shintoist;Japan
Japan;Dominican Republic;Pakistan;Vietnam;Shintoist;Christian;Muslim;Budhist;Dominican Republic
Thailand;India;Iran;Dominican Republic;Budhist;Hindu;Muslim;Christian;Iran
Vietnam;Iran;India;Dominican Republic;Budhist;Muslim;Hindu;Christian;Iran
Thailand;Dominican Republic;Iran;Nepal;Budhist;Christian;Muslim;Hindu;Thailand
Dominican Republic;Iran;Nepal;Vietnam;Christian;Muslim;Hindu;Budhist;Iran
Iraq;Dominican Republic;India;Thailand;Muslim;Christian;Hindu;Budhist;Dominican Republic
India;Dominican Republic;Iraq;Vietnam;Hindu;Christian;Muslim;Budhist;Iraq
Thailand;Nepal;Dominican Republic;Iraq;Budhist;Hindu;Christian;Muslim;Dominican Republic
Iraq;Dominican Republic;Vietnam;Nepal;Muslim;Christian;Budhist;Hindu;Iraq
Turkey;India;Thailand;Dominican Republic;Muslim;Hindu;Budhist;Christian;Thailand
Dominican Republic;Turkey;Vietnam;India;Christian;Muslim;Budhist;Hindu;Vietnam
Turkey;Thailand;Dominican Republic;Nepal;Muslim;Budhist;Christian;Hindu;Nepal
Dominican Republic;Vietnam;Nepal;Turkey;Christian;Budhist;Hindu;Muslim;Turkey
Dominican Republic;Algeria;India;Thailand;Christian;Muslim;Hindu;Budhist;India
India;Algeria;Vietnam;Dominican Republic;Hindu;Muslim;Budhist;Christian;Algeria
Thailand;Nepal;Dominican Republic;Algeria;Budhist;Hindu;Christian;Muslim;Nepal
Vietnam;Dominican Republic;Algeria;Nepal;Budhist;Christian;Muslim;Hindu;Nepal
India;Thailand;Egypt;Dominican Republic;Hindu;Budhist;Muslim;Christian;Dominican Republic
Dominican Republic;Vietnam;Egypt;India;Christian;Budhist;Muslim;Hindu;Vietnam
Thailand;Dominican Republic;Egypt;Nepal;Budhist;Christian;Muslim;Hindu;Thailand
Vietnam;Egypt;Dominican Republic;Nepal;Budhist;Muslim;Christian;Hindu;Vietnam
Sudan;India;Dominican Republic;Thailand;Muslim;Hindu;Christian;Budhist;Thailand
Sudan;India;Dominican Republic;Vietnam;Muslim;Hindu;Christian;Budhist;Vietnam
Nepal;Sudan;Thailand;Dominican Republic;Hindu;Muslim;Budhist;Christian;Dominican Republic
Dominican Republic;Nepal;Vietnam;Sudan;Christian;Hindu;Budhist;Muslim;Sudan
India;Congo (Democratic Republic);Uzbekistan;China;Hindu;Christian;Muslim;Non-religious;Congo (Democratic Republic)
Uzbekistan;Congo (Democratic Republic);China;Nepal;Muslim;Christian;Non-religious;Hindu;Uzbekistan
Congo (Democratic Republic);Thailand;Uzbekistan;China;Christian;Budhist;Muslim;Non-religious;China
Vietnam;China;Congo (Democratic Republic);Uzbekistan;Budhist;Non-religious;Christian;Muslim;Congo (Democratic Republic)
Congo (Democratic Republic);Japan;India;Uzbekistan;Christian;Shintoist;Hindu;Muslim;Congo (Democratic Republic)
Uzbekistan;Japan;Congo (Democratic Republic);Nepal;Muslim;Shintoist;Christian;Hindu;Uzbekistan
Japan;Congo (Democratic Republic);Uzbekistan;Thailand;Shintoist;Christian;Muslim;Budhist;Uzbekistan
Uzbekistan;Vietnam;Japan;Congo (Democratic Republic);Muslim;Budhist;Shintoist;Christian;Congo (Democratic Republic)
India;Uzbekistan;Thailand;Congo (Democratic Republic);Hindu;Muslim;Budhist;Christian;Uzbekistan
India;Congo (Democratic Republic);Vietnam;Uzbekistan;Hindu;Christian;Budhist;Muslim;India
Congo (Democratic Republic);Uzbekistan;Thailand;Nepal;Christian;Muslim;Budhist;Hindu;Congo (Democratic Republic)
Uzbekistan;Vietnam;Nepal;Congo (Democratic Republic);Muslim;Budhist;Hindu;Christian;Vietnam
Congo (Democratic Republic);India;Iran;China;Christian;Hindu;Muslim;Non-religious;India
Iran;Congo (Democratic Republic);China;Nepal;Muslim;Christian;Non-religious;Hindu;Congo (Democratic Republic)
Congo (Democratic Republic);Iran;Thailand;China;Christian;Muslim;Budhist;Non-religious;Congo (Democratic Republic)
Vietnam;Iran;China;Congo (Democratic Republic);Budhist;Muslim;Non-religious;Christian;Congo (Democratic Republic)
China;India;Iraq;Congo (Democratic Republic);Non-religious;Hindu;Muslim;Christian;China
Nepal;Iraq;Congo (Democratic Republic);China;Hindu;Muslim;Christian;Non-religious;Iraq
Congo (Democratic Republic);China;Iraq;Thailand;Christian;Non-religious;Muslim;Budhist;Thailand
Vietnam;Congo (Democratic Republic);Iraq;China;Budhist;Christian;Muslim;Non-religious;Congo (Democratic Republic)
Turkey;Congo (Democratic Republic);China;India;Muslim;Christian;Non-religious;Hindu;Congo (Democratic Republic)
Congo (Democratic Republic);China;Nepal;Turkey;Christian;Non-religious;Hindu;Muslim;Congo (Democratic Republic)
Turkey;Thailand;China;Congo (Democratic Republic);Muslim;Budhist;Non-religious;Christian;Thailand
China;Vietnam;Congo (Democratic Republic);Turkey;Non-religious;Budhist;Christian;Muslim;China
India;Congo (Democratic Republic);Algeria;China;Hindu;Christian;Muslim;Non-religious;China
Congo (Democratic Republic);Nepal;China;Algeria;Christian;Hindu;Non-religious;Muslim;Algeria
Thailand;China;Congo (Democratic Republic);Algeria;Budhist;Non-religious;Christian;Muslim;Thailand
Congo (Democratic Republic);Algeria;China;Vietnam;Christian;Muslim;Non-religious;Budhist;Vietnam
China;Congo (Democratic Republic);India;Egypt;Non-religious;Christian;Hindu;Muslim;Egypt
China;Nepal;Congo (Democratic Republic);Egypt;Non-religious;Hindu;Christian;Muslim;China
Egypt;Thailand;Congo (Democratic Republic);China;Muslim;Budhist;Christian;Non-religious;China
Congo (Democratic Republic);Vietnam;Egypt;China;Christian;Budhist;Muslim;Non-religious;Egypt
China;Sudan;India;Congo (Democratic Republic);Non-religious;Muslim;Hindu;Christian;Congo (Democratic Republic)
Congo (Democratic Republic);Sudan;China;Nepal;Christian;Muslim;Non-religious;Hindu;China
China;Thailand;Congo (Democratic Republic);Sudan;Non-religious;Budhist;Christian;Muslim;China
Vietnam;Congo (Democratic Republic);Sudan;China;Budhist;Christian;Muslim;Non-religious;China
Congo (Democratic Republic);China;Thailand;Bangladesh;Christian;Non-religious;Budhist;Muslim;Thailand
Congo (Democratic Republic);Vietnam;China;Bangladesh;Christian;Budhist;Non-religious;Muslim;Congo (Democratic Republic)
Thailand;Congo (Democratic Republic);India;China;Budhist;Christian;Hindu;Non-religious;India
India;Congo (Democratic Republic);Vietnam;China;Hindu;Christian;Budhist;Non-religious;India
Congo (Democratic Republic);Thailand;China;Nepal;Christian;Budhist;Non-religious;Hindu;Congo (Democratic Republic)
China;Congo (Democratic Republic);Nepal;Vietnam;Non-religious;Christian;Hindu;Budhist;Vietnam
China;Congo (Democratic Republic);Pakistan;Thailand;Non-religious;Christian;Muslim;Budhist;China
Pakistan;Congo (Democratic Republic);China;Vietnam;Muslim;Christian;Non-religious;Budhist;Congo (Democratic Republic)
India;Iran;Congo (Democratic Republic);Japan;Hindu;Muslim;Christian;Shintoist;Congo (Democratic Republic)
Iran;Congo (Democratic Republic);Nepal;Japan;Muslim;Christian;Hindu;Shintoist;Japan
Thailand;Congo (Democratic Republic);Japan;Iran;Budhist;Christian;Shintoist;Muslim;Congo (Democratic Republic)
Iran;Vietnam;Japan;Congo (Democratic Republic);Muslim;Budhist;Shintoist;Christian;Iran
Japan;Congo (Democratic Republic);India;Iraq;Shintoist;Christian;Hindu;Muslim;Iraq
Iraq;Japan;Nepal;Congo (Democratic Republic);Muslim;Shintoist;Hindu;Christian;Congo (Democratic Republic)
Iraq;Thailand;Congo (Democratic Republic);Japan;Muslim;Budhist;Christian;Shintoist;Iraq
Vietnam;Iraq;Japan;Congo (Democratic Republic);Budhist;Muslim;Shintoist;Christian;Japan
Turkey;Congo (Democratic Republic);Japan;India;Muslim;Christian;Shintoist;Hindu;India
Congo (Democratic Republic);Japan;Nepal;Turkey;Christian;Shintoist;Hindu;Muslim;Japan
Turkey;Congo (Democratic Republic);Japan;Thailand;Muslim;Christian;Shintoist;Budhist;Congo (Democratic Republic)
Japan;Vietnam;Turkey;Congo (Democratic Republic);Shintoist;Budhist;Muslim;Christian;Vietnam
Japan;Congo (Democratic Republic);India;Algeria;Shintoist;Christian;Hindu;Muslim;Japan
Algeria;Congo (Democratic Republic);Japan;Nepal;Muslim;Christian;Shintoist;Hindu;Algeria
Algeria;Congo (Democratic Republic);Japan;Thailand;Muslim;Christian;Shintoist;Budhist;Japan
Vietnam;Japan;Algeria;Congo (Democratic Republic);Budhist;Shintoist;Muslim;Christian;Algeria
India;Egypt;Japan;Congo (Democratic Republic);Hindu;Muslim;Shintoist;Christian;Congo (Democratic Republic)
Nepal;Egypt;Congo (Democratic Republic);Japan;Hindu;Muslim;Christian;Shintoist;Japan
Thailand;Egypt;Japan;Congo (Democratic Republic);Budhist;Muslim;Shintoist;Christian;Congo (Democratic Republic)
Vietnam;Japan;Egypt;Congo (Democratic Republic);Budhist;Shintoist;Muslim;Christian;Japan
India;Japan;Sudan;Congo (Democratic Republic);Hindu;Shintoist;Muslim;Christian;Congo (Democratic Republic)
Congo (Democratic Republic);Nepal;Sudan;Japan;Christian;Hindu;Muslim;Shintoist;Japan
Thailand;Japan;Congo (Democratic Republic);Sudan;Budhist;Shintoist;Christian;Muslim;Sudan
Japan;Sudan;Congo (Democratic Republic);Vietnam;Shintoist;Muslim;Christian;Budhist;Vietnam
Thailand;Congo (Democratic Republic);Bangladesh;Japan;Budhist;Christian;Muslim;Shintoist;Japan
Congo (Democratic Republic);Vietnam;Bangladesh;Japan;Christian;Budhist;Muslim;Shintoist;Vietnam
India;Japan;Thailand;Congo (Democratic Republic);Hindu;Shintoist;Budhist;Christian;Congo (Democratic Republic)
Japan;Vietnam;India;Congo (Democratic Republic);Shintoist;Budhist;Hindu;Christian;Japan
Congo (Democratic Republic);Thailand;Japan;Nepal;Christian;Budhist;Shintoist;Hindu;Japan
Japan;Vietnam;Congo (Democratic Republic);Nepal;Shintoist;Budhist;Christian;Hindu;Congo (Democratic Republic)
Thailand;Japan;Congo (Democratic Republic);Pakistan;Budhist;Shintoist;Christian;Muslim;Congo (Democratic Republic)
Vietnam;Pakistan;Congo (Democratic Republic);Japan;Budhist;Muslim;Christian;Shintoist;Pakistan
India;Thailand;Iran;Congo (Democratic Republic);Hindu;Budhist;Muslim;Christian;Congo (Democratic Republic)
Vietnam;Iran;India;Congo (Democratic Republic);Budhist;Muslim;Hindu;Christian;India
Thailand;Iran;Congo (Democratic Republic);Nepal;Budhist;Muslim;Christian;Hindu;Nepal
Vietnam;Nepal;Iran;Congo (Democratic Republic);Budhist;Hindu;Muslim;Christian;Nepal
India;Congo (Democratic Republic);Thailand;Iraq;Hindu;Christian;Budhist;Muslim;India
Congo (Democratic Republic);India;Vietnam;Iraq;Christian;Hindu;Budhist;Muslim;Iraq
Congo (Democratic Republic);Nepal;Thailand;Iraq;Christian;Hindu;Budhist;Muslim;Congo (Democratic Republic)
Vietnam;Congo (Democratic Republic);Nepal;Iraq;Budhist;Christian;Hindu;Muslim;Iraq
Turkey;India;Congo (Democratic Republic);Thailand;Muslim;Hindu;Christian;Budhist;India
India;Congo (Democratic Republic);Vietnam;Turkey;Hindu;Christian;Budhist;Muslim;Vietnam
Thailand;Turkey;Nepal;Congo (Democratic Republic);Budhist;Muslim;Hindu;Christian;Thailand
Vietnam;Congo (Democratic Republic);Turkey;Nepal;Budhist;Christian;Muslim;Hindu;Vietnam
Thailand;Congo (Democratic Republic);Algeria;India;Budhist;Christian;Muslim;Hindu;India
Congo (Democratic Republic);Vietnam;India;Algeria;Christian;Budhist;Hindu;Muslim;India
Thailand;Nepal;Congo (Democratic Republic);Algeria;Budhist;Hindu;Christian;Muslim;Thailand
Algeria;Vietnam;Congo (Democratic Republic);Nepal;Muslim;Budhist;Christian;Hindu;Nepal
Thailand;India;Congo (Democratic Republic);Egypt;Budhist;Hindu;Christian;Muslim;Egypt
India;Egypt;Congo (Democratic Republic);Vietnam;Hindu;Muslim;Christian;Budhist;Egypt
Nepal;Egypt;Congo (Democratic Republic);Thailand;Hindu;Muslim;Christian;Budhist;Nepal
Congo (Democratic Republic);Vietnam;Egypt;Nepal;Christian;Budhist;Muslim;Hindu;Congo (Democratic Republic)
Sudan;Thailand;India;Congo (Democratic Republic);Muslim;Budhist;Hindu;Christian;India
