Keep;Country;sub-region;intermediate-region;Region;Religion
;Benin;Sub-Saharan Africa;Western Africa;Western Africa;
1;Burkina Faso;Sub-Saharan Africa;Western Africa;Western Africa;Muslim
;Cabo Verde;Sub-Saharan Africa;Western Africa;Western Africa;
1;Gambia;Sub-Saharan Africa;Western Africa;Western Africa;Muslim
1;Ghana;Sub-Saharan Africa;Western Africa;Western Africa;Christian
1;Guinea;Sub-Saharan Africa;Western Africa;Western Africa;Muslim
1;Guinea-Bissau;Sub-Saharan Africa;Western Africa;Western Africa;Muslim
;Liberia;Sub-Saharan Africa;Western Africa;Western Africa;
1;Mali;Sub-Saharan Africa;Western Africa;Western Africa;Muslim
;Mauritania;Sub-Saharan Africa;Western Africa;Western Africa;
1;Niger;Sub-Saharan Africa;Western Africa;Western Africa;Muslim
1;Nigeria;Sub-Saharan Africa;Western Africa;Western Africa;Christian
1;Senegal;Sub-Saharan Africa;Western Africa;Western Africa;Muslim
1;Sierra Leone;Sub-Saharan Africa;Western Africa;Western Africa;Muslim
;Togo;Sub-Saharan Africa;Western Africa;Western Africa;
1;Armenia;Western Asia;;Western Asia;Christian
1;Azerbaijan;Western Asia;;Western Asia;Muslim
1;Bahrain;Western Asia;;Western Asia;Muslim
1;Cyprus;Western Asia;;Western Asia;Christian
1;Georgia;Western Asia;;Western Asia;Christian
1;Iraq;Western Asia;;Western Asia;Muslim
1;Israel;Western Asia;;Western Asia;Jew
1;Jordan;Western Asia;;Western Asia;Muslim
1;Kuwait;Western Asia;;Western Asia;Muslim
1;Lebanon;Western Asia;;Western Asia;Muslim
1;Oman;Western Asia;;Western Asia;Muslim
1;Palestine;Asia;Western Asia;Western Asia;Muslim
1;Qatar;Western Asia;;Western Asia;Muslim
1;Saudi Arabia;Western Asia;;Western Asia;Muslim
1;Syrian Arab Republic;Western Asia;;Western Asia;Muslim
1;Turkey;Western Asia;;Western Asia;Muslim
1;United Arab Emirates;Western Asia;;Western Asia;Muslim
1;Yemen;Western Asia;;Western Asia;Muslim
1;Austria;Western Europe;;Western Europe;Christian
1;Belgium;Western Europe;;Western Europe;Christian
1;France;Western Europe;;Western Europe;Christian
1;Germany;Western Europe;;Western Europe;Christian
;Liechtenstein;Western Europe;;Western Europe;
1;Luxembourg;Western Europe;;Western Europe;Christian
1;Monaco;Western Europe;;Western Europe;Christian
1;Netherlands;Europe;Western Europe;Western Europe;Christian
1;Switzerland;Western Europe;;Western Europe;Christian
;;;;;
