location,criminal,criminal_is_migrant,criminal_region,origin1,religion1,name1,gender1,origin2,religion2,name2,gender2,origin3,religion3,name3,gender3,origin4,religion4,name4,gender4
Algeria,2,False,North Africa,Cuba,Christian,Alejandro,Male,Algeria,Muslim,Amina,Female,China,Non-religious,Lin,Female,Thailand,Budhist,Kanya,Female
Algeria,3,True,East Asia,Algeria,Muslim,Yasmin,Female,Cuba,Christian,Diego,Male,China,Non-religious,Wei,Female,Vietnam,Budhist,Linh,Male
Egypt,2,False,North Africa,Cuba,Christian,Alejandro,Male,Egypt,Muslim,Layla,Female,India,Hindu,Arjun,Male,China,Non-religious,Mei,Female
Nepal,2,True,Caribbean,Nepal,Hindu,Arjun,Male,Cuba,Christian,Lucia,Female,Egypt,Muslim,Amir,Male,China,Non-religious,Mei,Female
Cuba,4,True,North Africa,China,Non-religious,Ling,Female,Thailand,Budhist,Anan,Male,Cuba,Christian,Maria,Female,Egypt,Muslim,Amir,Male
Cuba,4,True,North Africa,China,Non-religious,Wei,Female,Cuba,Christian,Carlos,Male,Vietnam,Budhist,Mai,Female,Egypt,Muslim,Ahmed,Male
India,2,True,North Africa,India,Hindu,Priya,Female,Sudan,Muslim,Amir,Male,Cuba,Christian,Maria,Female,China,Non-religious,Wei,Male
China,4,True,North Africa,Cuba,Christian,Javier,Male,China,Non-religious,Mei,Female,Nepal,Hindu,Sita,Female,Sudan,Muslim,Amir,Male
Thailand,3,True,Caribbean,China,Non-religious,Li,Female,Thailand,Budhist,Ananda,Male,Cuba,Christian,Maria,Female,Sudan,Muslim,Amir,Male
Cuba,1,True,East Asia,China,Non-religious,Ming,Female,Cuba,Christian,Alberto,Male,Vietnam,Budhist,Linh,Female,Sudan,Muslim,Amir,Male
Cuba,4,True,South Asia,China,Non-religious,Lian,Female,Thailand,Budhist,Ananda,Male,Cuba,Christian,Carlos,Male,Bangladesh,Muslim,Amina,Female
Vietnam,1,True,South Asia,Bangladesh,Muslim,Amina,Female,Cuba,Christian,Carlos,Male,China,Non-religious,Li,Female,Vietnam,Budhist,Minh,Male
China,4,True,Southeast Asia,China,Non-religious,Mei,Female,Cuba,Christian,Alejandro,Male,India,Hindu,Riya,Female,Thailand,Budhist,Niran,Male
India,4,False,South Asia,Vietnam,Budhist,Linh,Female,China,Non-religious,Wei,Male,Cuba,Christian,Carlos,Male,India,Hindu,Priya,Female
Thailand,2,True,Caribbean,Thailand,Budhist,Suriya,Male,Cuba,Christian,Mateo,Male,China,Non-religious,Lin,Female,Nepal,Hindu,Aarati,Female
Cuba,3,False,Caribbean,China,Non-religious,Wei,Male,Vietnam,Budhist,Linh,Female,Cuba,Christian,Carlos,Male,Nepal,Hindu,Sita,Female
China,4,False,East Asia,Thailand,Budhist,Aum,Female,Cuba,Christian,Luis,Male,Pakistan,Muslim,Aisha,Female,China,Non-religious,Wei,Male
Cuba,3,False,Caribbean,China,Non-religious,Wei,Male,Vietnam,Budhist,Linh,Female,Cuba,Christian,Elena,Female,Pakistan,Muslim,Amir,Male
Cuba,4,False,Caribbean,Japan,Shintoist,Yuki,Female,Iran,Muslim,Arman,Male,India,Hindu,Asha,Female,Cuba,Christian,Diego,Male
Iran,2,True,East Asia,Cuba,Christian,Alejandro,Male,Japan,Shintoist,Yuki,Female,Iran,Muslim,Reza,Male,Nepal,Hindu,Anaya,Female
Japan,2,True,Middle East,Thailand,Budhist,Ananda,Female,Iran,Muslim,Amir,Male,Cuba,Christian,Lucia,Female,Japan,Shintoist,Yuki,Male
Cuba,3,True,Middle East,Vietnam,Budhist,Linh,Female,Cuba,Christian,Carlos,Male,Iran,Muslim,Ali,Male,Japan,Shintoist,Suki,Female
Japan,3,True,Caribbean,Japan,Shintoist,Aiko,Female,Iraq,Muslim,Zayn,Male,Cuba,Christian,Lucia,Female,India,Hindu,Raj,Male
Iraq,3,False,Middle East,Cuba,Christian,Elisa,Female,Japan,Shintoist,Kenji,Male,Iraq,Muslim,Ahmed,Male,Nepal,Hindu,Maya,Female
Japan,4,True,Southeast Asia,Japan,Shintoist,Haruto,Male,Cuba,Christian,Lucia,Female,Iraq,Muslim,Amir,Male,Thailand,Budhist,Thida,Female
Japan,4,False,East Asia,Cuba,Christian,Miguel,Male,Vietnam,Budhist,Linh,Female,Iraq,Muslim,Samir,Male,Japan,Shintoist,Aiko,Female
India,4,False,South Asia,Cuba,Christian,Miguel,Male,Turkey,Muslim,Aylin,Female,Japan,Shintoist,Haruto,Male,India,Hindu,Priya,Female
Turkey,1,False,Middle East,Turkey,Muslim,Ayla,Female,Cuba,Christian,Miguel,Male,Japan,Shintoist,Hiroshi,Male,Nepal,Hindu,Devi,Female
Japan,3,False,East Asia,Cuba,Christian,Javier,Male,Turkey,Muslim,Aylin,Female,Japan,Shintoist,Haruto,Male,Thailand,Budhist,Suda,Female
Japan,4,True,Middle East,Vietnam,Budhist,Linh,Female,Cuba,Christian,Miguel,Male,Japan,Shintoist,Haruto,Male,Turkey,Muslim,Ayla,Female
Japan,4,True,Caribbean,Japan,Shintoist,Haruto,Male,Algeria,Muslim,Amina,Female,India,Hindu,Rajiv,Male,Cuba,Christian,Isabela,Female
Cuba,3,False,Caribbean,Japan,Shintoist,Hiroshi,Male,Algeria,Muslim,Amina,Female,Cuba,Christian,Carlos,Male,Nepal,Hindu,Maya,Female
Thailand,4,True,East Asia,Cuba,Christian,Javier,Male,Algeria,Muslim,Layla,Female,Thailand,Budhist,Niran,Male,Japan,Shintoist,Akira,Female
Vietnam,2,True,East Asia,Vietnam,Budhist,Hang,Female,Japan,Shintoist,Akira,Male,Algeria,Muslim,Samir,Male,Cuba,Christian,Maria,Female
Egypt,4,True,East Asia,Cuba,Christian,Emilio,Male,Egypt,Muslim,Layla,Female,India,Hindu,Arjun,Male,Japan,Shintoist,Yuki,Female
Nepal,4,True,East Asia,Nepal,Hindu,Suman,Male,Egypt,Muslim,Amina,Female,Cuba,Christian,Carlos,Male,Japan,Shintoist,Haruto,Male
Egypt,4,False,North Africa,Thailand,Budhist,Arun,Male,Japan,Shintoist,Yuki,Female,Cuba,Christian,Carlos,Male,Egypt,Muslim,Layla,Female
Cuba,4,True,North Africa,Vietnam,Budhist,Minh,Male,Japan,Shintoist,Yuki,Female,Cuba,Christian,Carlos,Male,Egypt,Muslim,Layla,Female
Sudan,4,False,North Africa,Japan,Shintoist,Hiroki,Male,Cuba,Christian,Sofia,Female,India,Hindu,Arjun,Male,Sudan,Muslim,Amina,Female
Japan,4,True,North Africa,Cuba,Christian,Diego,Male,Japan,Shintoist,Aiko,Female,Nepal,Hindu,Sita,Female,Sudan,Muslim,Mansur,Male
Sudan,4,False,North Africa,Thailand,Budhist,Anong,Female,Japan,Shintoist,Haruto,Male,Cuba,Christian,Lazaro,Male,Sudan,Muslim,Amina,Female
Sudan,3,False,North Africa,Vietnam,Budhist,Minh,Male,Japan,Shintoist,Yuki,Female,Sudan,Muslim,Jamal,Male,Cuba,Christian,Maria,Female
Cuba,2,True,East Asia,Thailand,Budhist,Niran,Male,Japan,Shintoist,Akiko,Female,Cuba,Christian,Carlos,Male,Bangladesh,Muslim,Amina,Female
Cuba,4,False,Caribbean,Vietnam,Budhist,Linh,Female,Japan,Shintoist,Hiroshi,Male,Bangladesh,Muslim,Amina,Female,Cuba,Christian,Carlos,Male
Thailand,2,False,Southeast Asia,Japan,Shintoist,Hiroshi,Male,Thailand,Budhist,Aranya,Female,Cuba,Christian,Miguel,Male,India,Hindu,Priya,Female
Japan,3,True,South Asia,Vietnam,Budhist,Minh,Male,Cuba,Christian,Sofia,Female,India,Hindu,Arjun,Male,Japan,Shintoist,Yuki,Female
Cuba,4,True,East Asia,Cuba,Christian,Miguel,Male,Nepal,Hindu,Sita,Female,Thailand,Budhist,Kanya,Female,Japan,Shintoist,Haruto,Male
Cuba,4,True,East Asia,Nepal,Hindu,Aditi,Female,Cuba,Christian,Diego,Male,Vietnam,Budhist,Minh,Female,Japan,Shintoist,Kenji,Male
Japan,1,True,Caribbean,Cuba,Christian,Maria,Female,Thailand,Budhist,Ananda,Male,Japan,Shintoist,Haruto,Male,Pakistan,Muslim,Aisha,Female
Cuba,4,False,Caribbean,Pakistan,Muslim,Amir,Male,Vietnam,Budhist,Linh,Female,Japan,Shintoist,Hiro,Male,Cuba,Christian,Camila,Female
Thailand,2,True,South Asia,Cuba,Christian,Diego,Male,India,Hindu,Priya,Female,Thailand,Budhist,Niran,Male,Iran,Muslim,Leila,Female
Vietnam,3,True,Caribbean,Vietnam,Budhist,Linh,Female,Iran,Muslim,Amir,Male,Cuba,Christian,Sofia,Female,India,Hindu,Arjun,Male
Nepal,3,False,South Asia,Iran,Muslim,Amir,Male,Cuba,Christian,Sofia,Female,Nepal,Hindu,Ramesh,Male,Thailand,Budhist,Sunee,Female
Iran,4,False,Middle East,Vietnam,Budhist,Linh,Female,Nepal,Hindu,Aarav,Male,Cuba,Christian,Sofia,Female,Iran,Muslim,Darya,Female
Thailand,3,False,Southeast Asia,Iraq,Muslim,Tariq,Male,India,Hindu,Priya,Female,Thailand,Budhist,Somchai,Male,Cuba,Christian,Lucia,Female
Vietnam,2,False,Southeast Asia,Iraq,Muslim,Amir,Male,Vietnam,Budhist,Linh,Female,Cuba,Christian,Carlos,Male,India,Hindu,Priya,Female
Cuba,4,True,South Asia,Iraq,Muslim,Farid,Male,Thailand,Budhist,Anong,Female,Cuba,Christian,Carlos,Male,Nepal,Hindu,Maya,Female
Vietnam,4,False,Southeast Asia,Iraq,Muslim,Tariq,Male,Cuba,Christian,Sofia,Female,Nepal,Hindu,Arjun,Male,Vietnam,Budhist,Mai,Female
Thailand,3,True,Caribbean,Turkey,Muslim,Kemal,Male,India,Hindu,Priya,Female,Cuba,Christian,Diego,Male,Thailand,Budhist,Anong,Female
Cuba,3,True,Middle East,Vietnam,Budhist,An,Female,India,Hindu,Raj,Male,Turkey,Muslim,Leyla,Female,Cuba,Christian,Carlos,Male
Turkey,4,False,Middle East,Cuba,Christian,Alejandro,Male,Nepal,Hindu,Sita,Female,Thailand,Budhist,Preecha,Male,Turkey,Muslim,Asya,Female
Cuba,2,False,Caribbean,Vietnam,Budhist,Linh,Female,Cuba,Christian,Roberto,Male,Nepal,Hindu,Sita,Female,Turkey,Muslim,Emre,Male
Cuba,2,True,Southeast Asia,Cuba,Christian,Lucia,Female,Thailand,Budhist,Aran,Male,Algeria,Muslim,Nadia,Female,India,Hindu,Raj,Male
Algeria,3,False,North Africa,Cuba,Christian,Diego,Male,India,Hindu,Priya,Female,Algeria,Muslim,Yacine,Male,Vietnam,Budhist,Linh,Female
Nepal,4,False,South Asia,Algeria,Muslim,Amir,Male,Thailand,Budhist,Niran,Female,Cuba,Christian,Carlos,Male,Nepal,Hindu,Sita,Female
Algeria,4,True,South Asia,Cuba,Christian,Elena,Female,Algeria,Muslim,Karim,Male,Vietnam,Budhist,Minh,Female,Nepal,Hindu,Rajan,Male
India,3,True,Caribbean,Egypt,Muslim,Amir,Male,India,Hindu,Anaya,Female,Cuba,Christian,Carlos,Male,Thailand,Budhist,Suda,Female
Egypt,3,False,North Africa,Cuba,Christian,Diego,Male,India,Hindu,Priya,Female,Egypt,Muslim,Ahmed,Male,Vietnam,Budhist,Linh,Female
Egypt,1,False,North Africa,Egypt,Muslim,Karim,Male,Nepal,Hindu,Lila,Female,Cuba,Christian,Miguel,Male,Thailand,Budhist,Suriya,Female
Vietnam,3,True,Caribbean,Vietnam,Budhist,Lan,Female,Egypt,Muslim,Amir,Male,Cuba,Christian,Sofia,Female,Nepal,Hindu,Raj,Male
Cuba,4,True,South Asia,Cuba,Christian,Carlos,Male,Sudan,Muslim,Amina,Female,Thailand,Budhist,Niran,Male,India,Hindu,Priya,Female
Cuba,2,False,Caribbean,Sudan,Muslim,Amir,Male,Cuba,Christian,Lucia,Female,India,Hindu,Arjun,Male,Vietnam,Budhist,Linh,Female
Thailand,4,False,Southeast Asia,Cuba,Christian,Alejandro,Male,Nepal,Hindu,Sita,Female,Sudan,Muslim,Amina,Female,Thailand,Budhist,Preecha,Male
Sudan,4,True,South Asia,Vietnam,Budhist,Minh,Female,Cuba,Christian,Tomas,Male,Sudan,Muslim,Amir,Male,Nepal,Hindu,Asha,Female
China,3,True,South Asia,Dominican Republic,Christian,Javier,Male,Uzbekistan,Muslim,Layla,Female,India,Hindu,Arjun,Male,China,Non-religious,Mei,Female
Nepal,4,False,South Asia,Dominican Republic,Christian,Rafael,Male,China,Non-religious,Lin,Female,Uzbekistan,Muslim,Amina,Female,Nepal,Hindu,Suresh,Male
Thailand,3,True,East Asia,Dominican Republic,Christian,Rafael,Male,Uzbekistan,Muslim,Leyla,Female,China,Non-religious,Ming,Female,Thailand,Budhist,Ananda,Male
Uzbekistan,4,False,Central Asia,Dominican Republic,Christian,Miguel,Male,Vietnam,Budhist,Linh,Female,China,Non-religious,Wei,Male,Uzbekistan,Muslim,Amina,Female
Dominican Republic,1,True,Central Asia,Uzbekistan,Muslim,Rashid,Male,India,Hindu,Aditi,Female,Japan,Shintoist,Kenji,Male,Dominican Republic,Christian,Maria,Female
Nepal,4,True,Central Asia,Nepal,Hindu,Arjun,Male,Dominican Republic,Christian,Maria,Female,Japan,Shintoist,Kenji,Male,Uzbekistan,Muslim,Amina,Female
Dominican Republic,4,False,Caribbean,Japan,Shintoist,Yuki,Female,Uzbekistan,Muslim,Timur,Male,Thailand,Budhist,Niran,Male,Dominican Republic,Christian,Marisol,Female
Vietnam,3,False,Southeast Asia,Uzbekistan,Muslim,Amir,Male,Dominican Republic,Christian,Sofia,Female,Vietnam,Budhist,Linh,Female,Japan,Shintoist,Haruki,Male
India,4,True,Caribbean,Uzbekistan,Muslim,Amina,Female,Thailand,Budhist,Sukhon,Male,India,Hindu,Rajesh,Male,Dominican Republic,Christian,Isabella,Female
India,3,False,South Asia,Dominican Republic,Christian,Rafael,Male,Uzbekistan,Muslim,Aisha,Female,India,Hindu,Rohan,Male,Vietnam,Budhist,Linh,Female
Dominican Republic,4,True,South Asia,Uzbekistan,Muslim,Amir,Male,Dominican Republic,Christian,Sofia,Female,Thailand,Budhist,Preecha,Male,Nepal,Hindu,Meera,Female
Nepal,2,False,South Asia,Uzbekistan,Muslim,Farid,Male,Nepal,Hindu,Aditi,Female,Vietnam,Budhist,Bao,Female,Dominican Republic,Christian,Carlos,Male
India,2,True,Middle East,China,Non-religious,Wei,Male,Iran,Muslim,Amir,Male,Dominican Republic,Christian,Isabella,Female,India,Hindu,Priya,Female
Iran,2,False,Middle East,Nepal,Hindu,Arjun,Male,Iran,Muslim,Leila,Female,China,Non-religious,Wei,Female,Dominican Republic,Christian,Carlos,Male
China,2,True,Middle East,Dominican Republic,Christian,Maria,Female,Iran,Muslim,Amir,Male,China,Non-religious,Li,Male,Thailand,Budhist,Somchai,Male
China,1,False,East Asia,China,Non-religious,Wei,Male,Iran,Muslim,Amir,Male,Vietnam,Budhist,Linh,Female,Dominican Republic,Christian,Maria,Female
Iraq,1,False,Middle East,Iraq,Muslim,Samira,Female,China,Non-religious,Wei,Male,Dominican Republic,Christian,Rafael,Male,India,Hindu,Priya,Female
Dominican Republic,2,False,Caribbean,Nepal,Hindu,Sita,Female,Dominican Republic,Christian,Carlos,Male,Iraq,Muslim,Amir,Male,China,Non-religious,Mei,Female
China,3,False,East Asia,Dominican Republic,Christian,Juan,Male,Thailand,Budhist,Araya,Female,China,Non-religious,Wei,Male,Iraq,Muslim,Fatima,Female
China,2,False,East Asia,Vietnam,Budhist,Linh,Female,China,Non-religious,Wei,Male,Dominican Republic,Christian,Maria,Female,Iraq,Muslim,Hassan,Male
Dominican Republic,4,True,Middle East,India,Hindu,Arjun,Male,Dominican Republic,Christian,Rosa,Female,China,Non-religious,Wei,Male,Turkey,Muslim,Aylin,Female
Turkey,1,True,Caribbean,Dominican Republic,Christian,Javier,Male,China,Non-religious,Mei,Female,Turkey,Muslim,Selim,Male,Nepal,Hindu,Indira,Female
China,4,False,East Asia,Thailand,Budhist,Suri,Female,Dominican Republic,Christian,Mateo,Male,Turkey,Muslim,Emre,Male,China,Non-religious,Lian,Female
China,1,False,East Asia,China,Non-religious,Wei,Female,Vietnam,Budhist,Minh,Male,Turkey,Muslim,Aslan,Male,Dominican Republic,Christian,Maria,Female
Algeria,4,True,South Asia,China,Non-religious,Li,Male,Dominican Republic,Christian,Maria,Female,Algeria,Muslim,Ahmed,Male,India,Hindu,Priya,Female
China,3,True,South Asia,China,Non-religious,Li,Female,Algeria,Muslim,Amir,Male,Nepal,Hindu,Maya,Female,Dominican Republic,Christian,Carlos,Male
Algeria,3,True,East Asia,Algeria,Muslim,Amir,Male,Thailand,Budhist,Niran,Female,China,Non-religious,Wei,Male,Dominican Republic,Christian,Sofia,Female
Vietnam,4,True,Caribbean,Vietnam,Budhist,Lan,Female,China,Non-religious,Wei,Male,Algeria,Muslim,Khalid,Male,Dominican Republic,Christian,Sofia,Female
Dominican Republic,3,False,Caribbean,China,Non-religious,Wei,Male,Egypt,Muslim,Amir,Male,Dominican Republic,Christian,Sofia,Female,India,Hindu,Priya,Female
Dominican Republic,2,True,North Africa,Dominican Republic,Christian,Elena,Female,Egypt,Muslim,Amir,Male,Nepal,Hindu,Sita,Female,China,Non-religious,Li,Male
Egypt,4,True,Southeast Asia,China,Non-religious,Li,Female,Dominican Republic,Christian,Juan,Male,Egypt,Muslim,Karim,Male,Thailand,Budhist,Mala,Female
Vietnam,1,False,Southeast Asia,Vietnam,Budhist,An,Female,Egypt,Muslim,Ahmed,Male,Dominican Republic,Christian,Maria,Female,China,Non-religious,Lin,Male
Sudan,3,False,North Africa,China,Non-religious,Wei,Female,India,Hindu,Arjun,Male,Sudan,Muslim,Fatima,Female,Dominican Republic,Christian,Mateo,Male
Nepal,1,True,Caribbean,Dominican Republic,Christian,Felipe,Male,Nepal,Hindu,Anaya,Female,Sudan,Muslim,Samir,Male,China,Non-religious,Mei,Female
Dominican Republic,4,True,North Africa,China,Non-religious,Wei,Male,Dominican Republic,Christian,Mariana,Female,Thailand,Budhist,Anong,Female,Sudan,Muslim,Khalid,Male
China,3,False,East Asia,Vietnam,Budhist,Linh,Female,Dominican Republic,Christian,Carlos,Male,China,Non-religious,Jing,Male,Sudan,Muslim,Amina,Female
Bangladesh,4,True,East Asia,Thailand,Budhist,Suda,Female,Dominican Republic,Christian,Carlos,Male,Bangladesh,Muslim,Arif,Male,China,Non-religious,Mei,Female
China,4,True,South Asia,China,Non-religious,Li,Female,Dominican Republic,Christian,Rafael,Male,Vietnam,Budhist,Thao,Female,Bangladesh,Muslim,Amina,Female
Thailand,3,False,Southeast Asia,Dominican Republic,Christian,Rafael,Male,China,Non-religious,Li,Female,Thailand,Budhist,Arun,Male,India,Hindu,Priya,Female
China,1,False,East Asia,China,Non-religious,Wei,Female,Vietnam,Budhist,Linh,Male,India,Hindu,Ananya,Female,Dominican Republic,Christian,Miguel,Male
Nepal,2,False,South Asia,China,Non-religious,Jun,Male,Nepal,Hindu,Sita,Female,Thailand,Budhist,Aran,Male,Dominican Republic,Christian,Rosa,Female
Vietnam,4,True,East Asia,Vietnam,Budhist,Minh,Female,Nepal,Hindu,Sandeep,Male,Dominican Republic,Christian,Lucia,Female,China,Non-religious,Wei,Male
Thailand,3,True,Caribbean,Thailand,Budhist,Somchai,Male,China,Non-religious,Mei,Female,Dominican Republic,Christian,Rafael,Male,Pakistan,Muslim,Aisha,Female
Dominican Republic,2,True,East Asia,Dominican Republic,Christian,Carlos,Male,China,Non-religious,Mei,Female,Vietnam,Budhist,Thao,Female,Pakistan,Muslim,Amir,Male
Japan,4,False,East Asia,Iran,Muslim,Amir,Male,India,Hindu,Priya,Female,Dominican Republic,Christian,Carlos,Male,Japan,Shintoist,Haruki,Male
Japan,4,False,East Asia,Dominican Republic,Christian,Rafael,Male,Nepal,Hindu,Sita,Female,Iran,Muslim,Mahdi,Male,Japan,Shintoist,Hiroko,Female
Dominican Republic,4,True,Southeast Asia,Dominican Republic,Christian,Lucia,Female,Iran,Muslim,Reza,Male,Japan,Shintoist,Haruto,Male,Thailand,Budhist,Kanya,Female
Iran,4,True,East Asia,Iran,Muslim,Amir,Male,Dominican Republic,Christian,Lucia,Female,Vietnam,Budhist,Minh,Female,Japan,Shintoist,Hiroshi,Male
Iraq,3,False,Middle East,India,Hindu,Priya,Female,Dominican Republic,Christian,Juan,Male,Iraq,Muslim,Ahmed,Male,Japan,Shintoist,Aiko,Female
Dominican Republic,3,False,Caribbean,Iraq,Muslim,Amir,Male,Nepal,Hindu,Sita,Female,Dominican Republic,Christian,Rafael,Male,Japan,Shintoist,Yuki,Female
Dominican Republic,4,True,Middle East,Japan,Shintoist,Haruto,Male,Thailand,Budhist,Naree,Female,Dominican Republic,Christian,Luis,Male,Iraq,Muslim,Amina,Female
Dominican Republic,3,False,Caribbean,Japan,Shintoist,Akira,Male,Iraq,Muslim,Layla,Female,Dominican Republic,Christian,Rafael,Male,Vietnam,Budhist,Minh,Female
Turkey,3,False,Middle East,Japan,Shintoist,Yuki,Female,Dominican Republic,Christian,Carlos,Male,Turkey,Muslim,Fikret,Male,India,Hindu,Priya,Female
Turkey,4,False,Middle East,Japan,Shintoist,Aiko,Female,Dominican Republic,Christian,Carlos,Male,Nepal,Hindu,Rami,Male,Turkey,Muslim,Leyla,Female
Japan,3,False,East Asia,Dominican Republic,Christian,Rafael,Male,Thailand,Budhist,Anong,Female,Japan,Shintoist,Yuki,Male,Turkey,Muslim,Asli,Female
Dominican Republic,2,True,Middle East,Dominican Republic,Christian,Carlos,Male,Turkey,Muslim,Aylin,Female,Japan,Shintoist,Hiroshi,Male,Vietnam,Budhist,Linh,Female
Japan,3,False,East Asia,Algeria,Muslim,Amir,Male,India,Hindu,Priya,Female,Japan,Shintoist,Kenji,Male,Dominican Republic,Christian,Sofia,Female
Dominican Republic,3,False,Caribbean,Japan,Shintoist,Akira,Female,Nepal,Hindu,Priya,Female,Dominican Republic,Christian,Diego,Male,Algeria,Muslim,Amir,Male
Japan,3,True,North Africa,Dominican Republic,Christian,Miguel,Male,Japan,Shintoist,Akiko,Female,Algeria,Muslim,Amina,Female,Thailand,Budhist,Somchai,Male
Vietnam,3,True,East Asia,Algeria,Muslim,Ahmed,Male,Vietnam,Budhist,Linh,Female,Japan,Shintoist,Yuki,Female,Dominican Republic,Christian,Carlos,Male
Japan,4,False,East Asia,Egypt,Muslim,Amina,Female,Dominican Republic,Christian,Carlos,Male,India,Hindu,Priya,Female,Japan,Shintoist,Haruto,Male
Dominican Republic,4,True,East Asia,Egypt,Muslim,Amir,Male,Dominican Republic,Christian,Rosa,Female,Nepal,Hindu,Sita,Female,Japan,Shintoist,Kenji,Male
Japan,2,True,North Africa,Dominican Republic,Christian,Miguel,Male,Egypt,Muslim,Amina,Female,Japan,Shintoist,Haruto,Male,Thailand,Budhist,Suda,Female
Dominican Republic,2,False,Caribbean,Japan,Shintoist,Akira,Female,Dominican Republic,Christian,Carlos,Male,Egypt,Muslim,Layla,Female,Vietnam,Budhist,Minh,Male
India,4,False,South Asia,Japan,Shintoist,Akira,Female,Dominican Republic,Christian,Rafael,Male,Sudan,Muslim,Fatima,Female,India,Hindu,Rohan,Male
