location,criminal,criminal_is_migrant,criminal_region,origin1,religion1,name1,gender1,origin2,religion2,name2,gender2,origin3,religion3,name3,gender3,origin4,religion4,name4,gender4
Cuba,4,True,South Asia,China,Non-religious,Wei,Male,Thailand,Budhist,Sorn,Female,Cuba,Christian,Carlos,Male,Bangladesh,Muslim,Rashid,Male
Vietnam,3,True,East Asia,Bangladesh,Muslim,Rashid,Male,Cuba,Christian,Elena,Female,China,Non-religious,Li,Male,Vietnam,Budhist,Minh,Female
China,1,False,East Asia,China,Non-religious,Mei,Female,Cuba,Christian,Carlos,Male,India,Hindu,Rajesh,Male,Thailand,Budhist,Somchai,Male
India,2,True,East Asia,Vietnam,Budhist,Linh,Female,China,Non-religious,Wei,Male,Cuba,Christian,Rosa,Female,India,Hindu,Vikram,Male
Thailand,3,True,East Asia,Thailand,Budhist,Somchai,Male,Cuba,Christian,Elena,Female,China,Non-religious,Wei,Male,Nepal,Hindu,Karma,Female
Cuba,1,True,East Asia,China,Non-religious,Mei,Female,Vietnam,Budhist,Trang,Male,Cuba,Christian,Carlos,Male,Nepal,Hindu,Ravi,Male
China,3,True,South Asia,Thailand,Budhist,Somchai,Male,Cuba,Christian,Isabella,Female,Pakistan,Muslim,Zara,Female,China,Non-religious,Li,Male
Cuba,2,True,Southeast Asia,China,Non-religious,Mei,Female,Vietnam,Budhist,Trang,Female,Cuba,Christian,Carlos,Male,Pakistan,Muslim,Rashid,Male
Cuba,3,True,South Asia,Japan,Shintoist,Kenji,Male,Iran,Muslim,Farzad,Male,India,Hindu,Priya,Female,Cuba,Christian,Carlos,Male
Iran,3,False,Middle East,Cuba,Christian,Carlos,Male,Japan,Shintoist,Hiro,Male,Iran,Muslim,Reza,Male,Nepal,Hindu,Anil,Male
Japan,4,False,East Asia,Thailand,Budhist,Somchai,Male,Iran,Muslim,Azadeh,Female,Cuba,Christian,Miguel,Male,Japan,Shintoist,Keiko,Female
Cuba,3,True,Middle East,Vietnam,Budhist,Nguyen,Female,Cuba,Christian,Carlos,Male,Iran,Muslim,Reza,Male,Japan,Shintoist,Akira,Female
Japan,4,True,South Asia,Japan,Shintoist,Akira,Female,Iraq,Muslim,Rashid,Male,Cuba,Christian,Maria,Female,India,Hindu,Vikram,Male
Iraq,4,True,South Asia,Cuba,Christian,Carlos,Male,Japan,Shintoist,Hana,Female,Iraq,Muslim,Adnan,Male,Nepal,Hindu,Raj,Male
Japan,3,True,Middle East,Japan,Shintoist,Kenji,Male,Cuba,Christian,Maria,Female,Iraq,Muslim,Hassan,Male,Thailand,Budhist,Suri,Female
Japan,3,True,Middle East,Cuba,Christian,Carlos,Male,Vietnam,Budhist,Linh,Female,Iraq,Muslim,Rashid,Male,Japan,Shintoist,Keiko,Female
India,3,True,East Asia,Cuba,Christian,Carlos,Male,Turkey,Muslim,Aydin,Male,Japan,Shintoist,Hana,Female,India,Hindu,Rahul,Male
Turkey,3,True,East Asia,Turkey,Muslim,Ayse,Female,Cuba,Christian,Diego,Male,Japan,Shintoist,Keiko,Female,Nepal,Hindu,Rajesh,Male
Japan,2,True,Middle East,Cuba,Christian,Carlos,Male,Turkey,Muslim,Aylin,Female,Japan,Shintoist,Hiroshi,Male,Thailand,Budhist,Somchai,Male
Japan,1,True,Southeast Asia,Vietnam,Budhist,Linh,Female,Cuba,Christian,Carlos,Male,Japan,Shintoist,Hiro,Male,Turkey,Muslim,Mehmet,Male
Japan,3,True,South Asia,Japan,Shintoist,Hiro,Male,Algeria,Muslim,Amira,Female,India,Hindu,Vikram,Male,Cuba,Christian,Carlos,Male
Cuba,3,False,Caribbean,Japan,Shintoist,Kenji,Male,Algeria,Muslim,Malik,Male,Cuba,Christian,Maria,Female,Nepal,Hindu,Vikram,Male
Thailand,3,False,Southeast Asia,Cuba,Christian,Diego,Male,Algeria,Muslim,Karim,Male,Thailand,Budhist,Somchai,Male,Japan,Shintoist,Hiroshi,Female
Vietnam,4,True,Caribbean,Vietnam,Budhist,Linh,Female,Japan,Shintoist,Keiko,Female,Algeria,Muslim,Amir,Male,Cuba,Christian,Carlos,Male
Egypt,2,False,North Africa,Cuba,Christian,Carlos,Male,Egypt,Muslim,Amira,Female,India,Hindu,Raj,Male,Japan,Shintoist,Hiro,Male
Nepal,4,True,East Asia,Nepal,Hindu,Rajesh,Male,Egypt,Muslim,Amira,Female,Cuba,Christian,Carlos,Male,Japan,Shintoist,Keiko,Female
Egypt,2,True,East Asia,Thailand,Budhist,Suda,Female,Japan,Shintoist,Hideo,Male,Cuba,Christian,Carlos,Male,Egypt,Muslim,Amira,Female
Cuba,4,True,North Africa,Vietnam,Budhist,Mai,Female,Japan,Shintoist,Hiro,Male,Cuba,Christian,Carlos,Male,Egypt,Muslim,Amir,Male
Sudan,3,True,South Asia,Japan,Shintoist,Hiro,Male,Cuba,Christian,Maria,Female,India,Hindu,Priya,Female,Sudan,Muslim,Jamal,Male
Japan,4,True,North Africa,Cuba,Christian,Carlos,Male,Japan,Shintoist,Hiro,Male,Nepal,Hindu,Priya,Female,Sudan,Muslim,Ahmed,Male
Sudan,3,True,Caribbean,Thailand,Budhist,Suri,Female,Japan,Shintoist,Hideo,Male,Cuba,Christian,Maria,Female,Sudan,Muslim,Omar,Male
Sudan,4,True,Caribbean,Vietnam,Budhist,Linh,Female,Japan,Shintoist,Keiko,Female,Sudan,Muslim,Omar,Male,Cuba,Christian,Carlos,Male
Cuba,3,False,Caribbean,Thailand,Budhist,Sombat,Male,Japan,Shintoist,Akira,Female,Cuba,Christian,Maria,Female,Bangladesh,Muslim,Rashid,Male
Cuba,4,False,Caribbean,Vietnam,Budhist,Minh,Male,Japan,Shintoist,Akira,Female,Bangladesh,Muslim,Rahman,Male,Cuba,Christian,Elena,Female
Thailand,4,True,South Asia,Japan,Shintoist,Keiko,Female,Thailand,Budhist,Somchai,Male,Cuba,Christian,Carlos,Male,India,Hindu,Priya,Female
Japan,3,True,South Asia,Vietnam,Budhist,Minh,Female,Cuba,Christian,Carlos,Male,India,Hindu,Priya,Female,Japan,Shintoist,Keiko,Female
Cuba,3,True,Southeast Asia,Cuba,Christian,Carlos,Male,Nepal,Hindu,Asha,Female,Thailand,Budhist,Sombat,Male,Japan,Shintoist,Hiroshi,Male
Cuba,3,True,Southeast Asia,Nepal,Hindu,Rajiv,Male,Cuba,Christian,Elena,Female,Vietnam,Budhist,Minh,Male,Japan,Shintoist,Keiko,Female
Japan,3,False,East Asia,Cuba,Christian,Carlos,Male,Thailand,Budhist,Somchai,Male,Japan,Shintoist,Akira,Female,Pakistan,Muslim,Imran,Male
Cuba,3,True,East Asia,Pakistan,Muslim,Aziz,Male,Vietnam,Budhist,Linh,Female,Japan,Shintoist,Keiko,Female,Cuba,Christian,Miguel,Male
Thailand,2,True,South Asia,Cuba,Christian,Carlos,Male,India,Hindu,Priya,Female,Thailand,Budhist,Somchai,Male,Iran,Muslim,Reza,Male
Vietnam,2,True,Middle East,Vietnam,Budhist,Minh,Female,Iran,Muslim,Reza,Male,Cuba,Christian,Carlos,Male,India,Hindu,Priya,Female
Nepal,3,False,South Asia,Iran,Muslim,Reza,Male,Cuba,Christian,Elena,Female,Nepal,Hindu,Prakash,Male,Thailand,Budhist,Somporn,Female
Iran,3,True,Caribbean,Vietnam,Budhist,Linh,Female,Nepal,Hindu,Raj,Male,Cuba,Christian,Elena,Female,Iran,Muslim,Mehdi,Male
Thailand,2,True,South Asia,Iraq,Muslim,Rashid,Male,India,Hindu,Priya,Female,Thailand,Budhist,Somchai,Male,Cuba,Christian,Carlos,Male
Vietnam,3,True,Caribbean,Iraq,Muslim,Tariq,Male,Vietnam,Budhist,Linh,Female,Cuba,Christian,Miguel,Male,India,Hindu,Arjun,Male
Cuba,3,False,Caribbean,Iraq,Muslim,Rashid,Male,Thailand,Budhist,Sombat,Male,Cuba,Christian,Elena,Female,Nepal,Hindu,Prakash,Male
Vietnam,3,True,South Asia,Iraq,Muslim,Adnan,Male,Cuba,Christian,Elena,Female,Nepal,Hindu,Rajesh,Male,Vietnam,Budhist,Minh,Male
Thailand,2,True,South Asia,Turkey,Muslim,Ahmet,Male,India,Hindu,Priya,Female,Cuba,Christian,Carlos,Male,Thailand,Budhist,Somporn,Female
Cuba,3,True,Middle East,Vietnam,Budhist,Minh,Male,India,Hindu,Priya,Female,Turkey,Muslim,Kemal,Male,Cuba,Christian,Diego,Male
Turkey,2,True,South Asia,Cuba,Christian,Carlos,Male,Nepal,Hindu,Priya,Female,Thailand,Budhist,Sombat,Male,Turkey,Muslim,Mehmet,Male
Cuba,4,True,Middle East,Vietnam,Budhist,Minh,Male,Cuba,Christian,Carlos,Male,Nepal,Hindu,Raj,Male,Turkey,Muslim,Kemal,Female
Cuba,4,True,South Asia,Cuba,Christian,Miguel,Male,Thailand,Budhist,Suri,Female,Algeria,Muslim,Karim,Male,India,Hindu,Priya,Female
Algeria,2,True,South Asia,Cuba,Christian,Carlos,Male,India,Hindu,Priya,Female,Algeria,Muslim,Karim,Male,Vietnam,Budhist,Linh,Female
Nepal,3,True,Caribbean,Algeria,Muslim,Karim,Male,Thailand,Budhist,Suri,Female,Cuba,Christian,Miguel,Male,Nepal,Hindu,Priya,Female
Algeria,4,True,South Asia,Cuba,Christian,Miguel,Male,Algeria,Muslim,Adel,Male,Vietnam,Budhist,Linh,Female,Nepal,Hindu,Raj,Male
India,3,True,Caribbean,Egypt,Muslim,Amira,Female,India,Hindu,Rajesh,Male,Cuba,Christian,Elena,Female,Thailand,Budhist,Sombat,Male
Egypt,2,True,South Asia,Cuba,Christian,Carlos,Male,India,Hindu,Priya,Female,Egypt,Muslim,Ahmed,Male,Vietnam,Budhist,Linh,Female
Egypt,3,True,Caribbean,Egypt,Muslim,Hassan,Male,Nepal,Hindu,Priya,Female,Cuba,Christian,Miguel,Male,Thailand,Budhist,Sombat,Male
Vietnam,2,True,North Africa,Vietnam,Budhist,Linh,Female,Egypt,Muslim,Amira,Female,Cuba,Christian,Miguel,Male,Nepal,Hindu,Raj,Male
Cuba,3,True,Southeast Asia,Cuba,Christian,Rafael,Male,Sudan,Muslim,Khalid,Male,Thailand,Budhist,Suri,Female,India,Hindu,Priya,Female
Cuba,4,True,Southeast Asia,Sudan,Muslim,Amir,Male,Cuba,Christian,Carlos,Male,India,Hindu,Priya,Female,Vietnam,Budhist,Minh,Female
Thailand,2,True,South Asia,Cuba,Christian,Carlos,Male,Nepal,Hindu,Priya,Female,Sudan,Muslim,Omar,Male,Thailand,Budhist,Sombat,Male
Sudan,1,True,Southeast Asia,Vietnam,Budhist,Linh,Female,Cuba,Christian,Carlos,Male,Sudan,Muslim,Omar,Male,Nepal,Hindu,Raj,Male
China,4,False,East Asia,Dominican Republic,Christian,Carlos,Male,Uzbekistan,Muslim,Aziz,Male,India,Hindu,Priya,Female,China,Non-religious,Wei,Female
Nepal,3,True,Central Asia,Dominican Republic,Christian,Elena,Female,China,Non-religious,Wei,Male,Uzbekistan,Muslim,Aziz,Male,Nepal,Hindu,Rajesh,Male
Thailand,3,True,East Asia,Dominican Republic,Christian,Diego,Male,Uzbekistan,Muslim,Aziz,Male,China,Non-religious,Mei,Female,Thailand,Budhist,Somchai,Male
Uzbekistan,3,True,East Asia,Dominican Republic,Christian,Maria,Female,Vietnam,Budhist,Tran,Male,China,Non-religious,Wei,Male,Uzbekistan,Muslim,Azim,Male
Dominican Republic,2,True,South Asia,Uzbekistan,Muslim,Azim,Male,India,Hindu,Priya,Female,Japan,Shintoist,Keiko,Female,Dominican Republic,Christian,Miguel,Male
Nepal,3,True,East Asia,Nepal,Hindu,Arjun,Male,Dominican Republic,Christian,Elena,Female,Japan,Shintoist,Hiroshi,Male,Uzbekistan,Muslim,Aziz,Male
Dominican Republic,4,False,Caribbean,Japan,Shintoist,Kenji,Male,Uzbekistan,Muslim,Aziz,Male,Thailand,Budhist,Somchai,Female,Dominican Republic,Christian,Maria,Female
Vietnam,3,False,Southeast Asia,Uzbekistan,Muslim,Akmal,Male,Dominican Republic,Christian,Maria,Female,Vietnam,Budhist,Tuan,Male,Japan,Shintoist,Hiro,Male
India,4,True,Caribbean,Uzbekistan,Muslim,Akbar,Male,Thailand,Budhist,Suri,Female,India,Hindu,Rajesh,Male,Dominican Republic,Christian,Elena,Female
India,2,True,Central Asia,Dominican Republic,Christian,Diego,Male,Uzbekistan,Muslim,Aziz,Male,India,Hindu,Priya,Female,Vietnam,Budhist,Mai,Female
Dominican Republic,2,False,Caribbean,Uzbekistan,Muslim,Rashid,Male,Dominican Republic,Christian,Maria,Female,Thailand,Budhist,Suri,Female,Nepal,Hindu,Prakash,Male
Nepal,3,True,Southeast Asia,Uzbekistan,Muslim,Azim,Male,Nepal,Hindu,Priya,Female,Vietnam,Budhist,Linh,Female,Dominican Republic,Christian,Miguel,Male
India,3,True,Caribbean,China,Non-religious,Mei,Female,Iran,Muslim,Reza,Male,Dominican Republic,Christian,Sofia,Female,India,Hindu,Vikram,Male
Iran,4,True,Caribbean,Nepal,Hindu,Aarav,Male,Iran,Muslim,Mehdi,Male,China,Non-religious,Li,Female,Dominican Republic,Christian,Carlos,Male
China,3,False,East Asia,Dominican Republic,Christian,Alejandro,Male,Iran,Muslim,Reza,Male,China,Non-religious,Li,Female,Thailand,Budhist,Somchai,Male
China,3,True,Southeast Asia,China,Non-religious,Wei,Male,Iran,Muslim,Reza,Female,Vietnam,Budhist,Linh,Female,Dominican Republic,Christian,Carlos,Male
Iraq,1,False,Middle East,Iraq,Muslim,Khalid,Male,China,Non-religious,Lin,Female,Dominican Republic,Christian,Maria,Female,India,Hindu,Rajesh,Male
Dominican Republic,4,True,East Asia,Nepal,Hindu,Arjun,Male,Dominican Republic,Christian,Carlos,Male,Iraq,Muslim,Fatima,Female,China,Non-religious,Lin,Female
China,3,False,East Asia,Dominican Republic,Christian,Rafael,Male,Thailand,Budhist,Suri,Female,China,Non-religious,Mei,Female,Iraq,Muslim,Karim,Male
China,2,False,East Asia,Vietnam,Budhist,Linh,Female,China,Non-religious,Wei,Male,Dominican Republic,Christian,Carlos,Male,Iraq,Muslim,Tariq,Male
Dominican Republic,2,False,Caribbean,India,Hindu,Arjun,Male,Dominican Republic,Christian,Carlos,Male,China,Non-religious,Li,Female,Turkey,Muslim,Mehmet,Male
Turkey,2,True,East Asia,Dominican Republic,Christian,Maria,Female,China,Non-religious,Li,Male,Turkey,Muslim,Ahmet,Male,Nepal,Hindu,Raj,Male
China,4,False,East Asia,Thailand,Budhist,Sombat,Male,Dominican Republic,Christian,Elena,Female,Turkey,Muslim,Mehmet,Male,China,Non-religious,Li,Female
China,2,True,Southeast Asia,China,Non-religious,Wei,Male,Vietnam,Budhist,Linh,Female,Turkey,Muslim,Aydin,Male,Dominican Republic,Christian,Isabella,Female
Algeria,4,True,South Asia,China,Non-religious,Mei,Female,Dominican Republic,Christian,Diego,Male,Algeria,Muslim,Karim,Male,India,Hindu,Raj,Male
China,4,True,Caribbean,China,Non-religious,Mei,Female,Algeria,Muslim,Karim,Male,Nepal,Hindu,Rajesh,Male,Dominican Republic,Christian,Elena,Female
Algeria,3,True,East Asia,Algeria,Muslim,Amir,Male,Thailand,Budhist,Somchai,Male,China,Non-religious,Li,Female,Dominican Republic,Christian,Elena,Female
Vietnam,2,True,East Asia,Vietnam,Budhist,Linh,Female,China,Non-religious,Wei,Male,Algeria,Muslim,Karim,Male,Dominican Republic,Christian,Maria,Female
Dominican Republic,3,False,Caribbean,China,Non-religious,Mei,Female,Egypt,Muslim,Karim,Male,Dominican Republic,Christian,Carlos,Male,India,Hindu,Raj,Male
Dominican Republic,4,True,East Asia,Dominican Republic,Christian,Miguel,Male,Egypt,Muslim,Amira,Female,Nepal,Hindu,Roshan,Male,China,Non-religious,Li,Female
Egypt,2,True,Caribbean,China,Non-religious,Li,Male,Dominican Republic,Christian,Maria,Female,Egypt,Muslim,Ahmed,Male,Thailand,Budhist,Suda,Female
Vietnam,4,True,East Asia,Vietnam,Budhist,Linh,Female,Egypt,Muslim,Amira,Female,Dominican Republic,Christian,Carlos,Male,China,Non-religious,Wei,Male
Sudan,4,True,Caribbean,China,Non-religious,Wei,Male,India,Hindu,Priya,Female,Sudan,Muslim,Omar,Male,Dominican Republic,Christian,Elena,Female
Nepal,4,True,East Asia,Dominican Republic,Christian,Diego,Male,Nepal,Hindu,Rajesh,Male,Sudan,Muslim,Omar,Male,China,Non-religious,Lin,Female
Dominican Republic,2,False,Caribbean,China,Non-religious,Wei,Male,Dominican Republic,Christian,Carlos,Male,Thailand,Budhist,Siri,Female,Sudan,Muslim,Omar,Male
China,3,False,East Asia,Vietnam,Budhist,Linh,Female,Dominican Republic,Christian,Rafael,Male,China,Non-religious,Wei,Female,Sudan,Muslim,Amir,Male
Bangladesh,4,True,East Asia,Thailand,Budhist,Sanya,Female,Dominican Republic,Christian,Miguel,Male,Bangladesh,Muslim,Rashid,Male,China,Non-religious,Wei,Female
China,2,True,Caribbean,China,Non-religious,Li,Female,Dominican Republic,Christian,Miguel,Male,Vietnam,Budhist,Trang,Female,Bangladesh,Muslim,Rashid,Male
Thailand,3,False,Southeast Asia,Dominican Republic,Christian,Carlos,Male,China,Non-religious,Wei,Female,Thailand,Budhist,Somchai,Male,India,Hindu,Raj,Male
China,4,True,Caribbean,China,Non-religious,Wei,Male,Vietnam,Budhist,Linh,Female,India,Hindu,Priya,Female,Dominican Republic,Christian,Miguel,Male
Nepal,4,True,Caribbean,China,Non-religious,Wei,Male,Nepal,Hindu,Ramesh,Male,Thailand,Budhist,Siri,Female,Dominican Republic,Christian,Miguel,Male
Vietnam,4,True,East Asia,Vietnam,Budhist,Linh,Female,Nepal,Hindu,Ravi,Male,Dominican Republic,Christian,Carlos,Male,China,Non-religious,Wei,Female
Thailand,2,True,East Asia,Thailand,Budhist,Somchai,Male,China,Non-religious,Mei,Female,Dominican Republic,Christian,Rosa,Female,Pakistan,Muslim,Zara,Female
Dominican Republic,2,True,East Asia,Dominican Republic,Christian,Carlos,Male,China,Non-religious,Mei,Female,Vietnam,Budhist,Linh,Female,Pakistan,Muslim,Rashid,Male
Japan,2,True,South Asia,Iran,Muslim,Reza,Male,India,Hindu,Arjun,Male,Dominican Republic,Christian,Maria,Female,Japan,Shintoist,Keiko,Female
Japan,4,False,East Asia,Dominican Republic,Christian,Rafael,Male,Nepal,Hindu,Karma,Female,Iran,Muslim,Reza,Male,Japan,Shintoist,Hiro,Male
Dominican Republic,2,True,Middle East,Dominican Republic,Christian,Carlos,Male,Iran,Muslim,Reza,Male,Japan,Shintoist,Akira,Female,Thailand,Budhist,Sombat,Male
Iran,4,True,East Asia,Iran,Muslim,Reza,Male,Dominican Republic,Christian,Maria,Female,Vietnam,Budhist,Linh,Female,Japan,Shintoist,Keiko,Female
Iraq,4,True,East Asia,India,Hindu,Vikram,Male,Dominican Republic,Christian,Elena,Female,Iraq,Muslim,Tariq,Male,Japan,Shintoist,Hiro,Male
Dominican Republic,3,False,Caribbean,Iraq,Muslim,Zara,Female,Nepal,Hindu,Arun,Male,Dominican Republic,Christian,Miguel,Male,Japan,Shintoist,Hiro,Male
Dominican Republic,4,True,Middle East,Japan,Shintoist,Kenji,Male,Thailand,Budhist,Somchai,Male,Dominican Republic,Christian,Maria,Female,Iraq,Muslim,Hakim,Male
Dominican Republic,4,True,Southeast Asia,Japan,Shintoist,Hiro,Male,Iraq,Muslim,Amir,Male,Dominican Republic,Christian,Maria,Female,Vietnam,Budhist,Linh,Female
Turkey,4,True,South Asia,Japan,Shintoist,Hiro,Male,Dominican Republic,Christian,Maria,Female,Turkey,Muslim,Ahmet,Male,India,Hindu,Raj,Male
Turkey,2,True,Caribbean,Japan,Shintoist,Akira,Male,Dominican Republic,Christian,Maria,Female,Nepal,Hindu,Rajesh,Male,Turkey,Muslim,Kemal,Male
Japan,4,True,Middle East,Dominican Republic,Christian,Miguel,Male,Thailand,Budhist,Siri,Female,Japan,Shintoist,Hiroshi,Male,Turkey,Muslim,Kemal,Male
Dominican Republic,3,True,East Asia,Dominican Republic,Christian,Rafael,Male,Turkey,Muslim,Aylin,Female,Japan,Shintoist,Keiko,Female,Vietnam,Budhist,Minh,Male
Japan,2,True,South Asia,Algeria,Muslim,Karim,Male,India,Hindu,Priya,Female,Japan,Shintoist,Hiroshi,Male,Dominican Republic,Christian,Miguel,Male
Dominican Republic,3,False,Caribbean,Japan,Shintoist,Keiko,Female,Nepal,Hindu,Rajesh,Male,Dominican Republic,Christian,Miguel,Male,Algeria,Muslim,Fatima,Female
Japan,2,False,East Asia,Dominican Republic,Christian,Diego,Male,Japan,Shintoist,Akira,Female,Algeria,Muslim,Karim,Male,Thailand,Budhist,Sombat,Male
Vietnam,4,True,Caribbean,Algeria,Muslim,Karim,Male,Vietnam,Budhist,Linh,Female,Japan,Shintoist,Akira,Male,Dominican Republic,Christian,Maria,Female
Japan,3,True,South Asia,Egypt,Muslim,Amir,Male,Dominican Republic,Christian,Elena,Female,India,Hindu,Priya,Female,Japan,Shintoist,Keiko,Female
Dominican Republic,4,True,East Asia,Egypt,Muslim,Karim,Male,Dominican Republic,Christian,Elena,Female,Nepal,Hindu,Raj,Male,Japan,Shintoist,Hiro,Female
Japan,2,True,North Africa,Dominican Republic,Christian,Carlos,Male,Egypt,Muslim,Hassan,Male,Japan,Shintoist,Akira,Female,Thailand,Budhist,Sombat,Male
Dominican Republic,2,False,Caribbean,Japan,Shintoist,Hiro,Male,Dominican Republic,Christian,Maria,Female,Egypt,Muslim,Amir,Male,Vietnam,Budhist,Linh,Female
India,4,False,South Asia,Japan,Shintoist,Hiro,Male,Dominican Republic,Christian,Maria,Female,Sudan,Muslim,Omar,Male,India,Hindu,Priya,Female
