location,criminal,criminal_is_migrant,criminal_region,origin1,religion1,name1,gender1,origin2,religion2,name2,gender2,origin3,religion3,name3,gender3,origin4,religion4,name4,gender4
Japan,4,True,Middle East,Vietnam,Budhist,Hien,Female,Cuba,Christian,Alejandro,Male,Japan,Shintoist,Yuki,Female,Turkey,Muslim,Emre,Male
Japan,4,True,Caribbean,Japan,Shintoist,Yuki,Female,Algeria,Muslim,Samir,Male,India,Hindu,Priya,Female,Cuba,Christian,Carlos,Male
Cuba,4,True,South Asia,Japan,Shintoist,Akira,Female,Algeria,Muslim,Malik,Male,Cuba,Christian,Carlos,Male,Nepal,Hindu,Sunita,Female
Thailand,4,True,East Asia,Cuba,Christian,Sofia,Female,Algeria,Muslim,Amir,Male,Thailand,Budhist,Anong,Female,Japan,Shintoist,Hiroshi,Male
Vietnam,4,True,Caribbean,Vietnam,Budhist,Linh,Female,Japan,Shintoist,Haruto,Male,Algeria,Muslim,Amina,Female,Cuba,Christian,Carlos,Male
Egypt,4,True,East Asia,Cuba,Christian,Rafael,Male,Egypt,Muslim,Amina,Female,India,Hindu,Priya,Female,Japan,Shintoist,Hiroshi,Male
Nepal,4,True,East Asia,Nepal,Hindu,Arjun,Male,Egypt,Muslim,Layla,Female,Cuba,Christian,Carlos,Male,Japan,Shintoist,Akiko,Female
Egypt,3,True,Caribbean,Thailand,Budhist,Anong,Female,Japan,Shintoist,Hiroshi,Male,Cuba,Christian,Lucia,Female,Egypt,Muslim,Amir,Male
Cuba,2,True,East Asia,Vietnam,Budhist,Minh,Female,Japan,Shintoist,Haruto,Male,Cuba,Christian,Juan,Male,Egypt,Muslim,Amina,Female
Sudan,2,True,Caribbean,Japan,Shintoist,Hiroshi,Male,Cuba,Christian,Maria,Female,India,Hindu,Rohan,Male,Sudan,Muslim,Amina,Female
Japan,1,True,Caribbean,Cuba,Christian,Diego,Male,Japan,Shintoist,Akiko,Female,Nepal,Hindu,Sita,Female,Sudan,Muslim,Omar,Male
Sudan,4,False,North Africa,Thailand,Budhist,Ananda,Female,Japan,Shintoist,Hiroshi,Male,Cuba,Christian,Elena,Female,Sudan,Muslim,Omar,Male
Sudan,3,False,North Africa,Vietnam,Budhist,Linh,Female,Japan,Shintoist,Hiroshi,Male,Sudan,Muslim,Aminah,Female,Cuba,Christian,Carlos,Male
Cuba,4,True,South Asia,Thailand,Budhist,Anong,Female,Japan,Shintoist,Hiro,Male,Cuba,Christian,Mateo,Male,Bangladesh,Muslim,Amina,Female
Cuba,4,False,Caribbean,Vietnam,Budhist,Minh,Female,Japan,Shintoist,Haruto,Male,Bangladesh,Muslim,Amina,Female,Cuba,Christian,Javier,Male
Thailand,2,False,Southeast Asia,Japan,Shintoist,Hiroshi,Male,Thailand,Budhist,Kanya,Female,Cuba,Christian,Miguel,Male,India,Hindu,Priya,Female
Japan,4,False,East Asia,Vietnam,Budhist,Linh,Female,Cuba,Christian,Diego,Male,India,Hindu,Priya,Female,Japan,Shintoist,Haruto,Male
Cuba,4,True,East Asia,Cuba,Christian,Alejandro,Male,Nepal,Hindu,Sita,Female,Thailand,Budhist,Chai,Male,Japan,Shintoist,Yuki,Female
Cuba,4,True,East Asia,Nepal,Hindu,Aarav,Male,Cuba,Christian,Sofia,Female,Vietnam,Budhist,Minh,Female,Japan,Shintoist,Kenji,Male
Japan,3,False,East Asia,Cuba,Christian,Emilio,Male,Thailand,Budhist,Suriya,Female,Japan,Shintoist,Hiroshi,Male,Pakistan,Muslim,Amina,Female
Cuba,4,False,Caribbean,Pakistan,Muslim,Aisha,Female,Vietnam,Budhist,Minh,Male,Japan,Shintoist,Yuki,Female,Cuba,Christian,Carlos,Male
Thailand,4,True,Middle East,Cuba,Christian,Carlos,Male,India,Hindu,Priya,Female,Thailand,Budhist,Anong,Female,Iran,Muslim,Reza,Male
Vietnam,4,True,South Asia,Vietnam,Budhist,Linh,Female,Iran,Muslim,Amir,Male,Cuba,Christian,Carlos,Male,India,Hindu,Priya,Female
Nepal,2,True,Caribbean,Iran,Muslim,Amir,Male,Cuba,Christian,Maria,Female,Nepal,Hindu,Sita,Female,Thailand,Budhist,Somchai,Male
Iran,4,False,Middle East,Vietnam,Budhist,Linh,Female,Nepal,Hindu,Rajan,Male,Cuba,Christian,Sofia,Female,Iran,Muslim,Amir,Male
Thailand,4,True,Caribbean,Iraq,Muslim,Amir,Male,India,Hindu,Priya,Female,Thailand,Budhist,Suriya,Male,Cuba,Christian,Camila,Female
Vietnam,4,True,South Asia,Iraq,Muslim,Amir,Male,Vietnam,Budhist,Linh,Female,Cuba,Christian,Carlos,Male,India,Hindu,Priya,Female
Cuba,3,False,Caribbean,Iraq,Muslim,Amir,Male,Thailand,Budhist,Suda,Female,Cuba,Christian,Manuel,Male,Nepal,Hindu,Priya,Female
Vietnam,4,False,Southeast Asia,Iraq,Muslim,Amir,Male,Cuba,Christian,Lucia,Female,Nepal,Hindu,Sita,Female,Vietnam,Budhist,Minh,Male
Thailand,4,False,Southeast Asia,Turkey,Muslim,Ayla,Female,India,Hindu,Raj,Male,Cuba,Christian,Elena,Female,Thailand,Budhist,Niran,Male
Cuba,3,True,Middle East,Vietnam,Budhist,Linh,Female,India,Hindu,Raj,Male,Turkey,Muslim,Emre,Male,Cuba,Christian,Sofia,Female
Turkey,1,True,Caribbean,Cuba,Christian,Miguel,Male,Nepal,Hindu,Sita,Female,Thailand,Budhist,Anong,Female,Turkey,Muslim,Kemal,Male
Cuba,2,False,Caribbean,Vietnam,Budhist,Linh,Female,Cuba,Christian,Carlos,Male,Nepal,Hindu,Arjun,Male,Turkey,Muslim,Leyla,Female
Cuba,4,True,South Asia,Cuba,Christian,Carlos,Male,Thailand,Budhist,Anong,Female,Algeria,Muslim,Youssef,Male,India,Hindu,Asha,Female
Algeria,2,True,South Asia,Cuba,Christian,Carlos,Male,India,Hindu,Priya,Female,Algeria,Muslim,Youssef,Male,Vietnam,Budhist,Linh,Female
Nepal,3,True,Caribbean,Algeria,Muslim,Amina,Female,Thailand,Budhist,Suriya,Female,Cuba,Christian,Carlos,Male,Nepal,Hindu,Arjun,Male
Algeria,3,True,Southeast Asia,Cuba,Christian,Carlos,Male,Algeria,Muslim,Amina,Female,Vietnam,Budhist,Linh,Female,Nepal,Hindu,Rajan,Male
India,2,False,South Asia,Egypt,Muslim,Amir,Male,India,Hindu,Aarti,Female,Cuba,Christian,Miguel,Male,Thailand,Budhist,Suriya,Female
Egypt,3,False,North Africa,Cuba,Christian,Javier,Male,India,Hindu,Priya,Female,Egypt,Muslim,Amina,Female,Vietnam,Budhist,Bao,Male
Egypt,4,True,Southeast Asia,Egypt,Muslim,Amina,Female,Nepal,Hindu,Raj,Male,Cuba,Christian,Carlos,Male,Thailand,Budhist,Sunee,Female
Vietnam,3,True,Caribbean,Vietnam,Budhist,Thuy,Female,Egypt,Muslim,Amir,Male,Cuba,Christian,Carlos,Male,Nepal,Hindu,Lila,Female
Cuba,3,True,Southeast Asia,Cuba,Christian,Carlos,Male,Sudan,Muslim,Amina,Female,Thailand,Budhist,Niran,Female,India,Hindu,Raj,Male
Cuba,4,True,Southeast Asia,Sudan,Muslim,Amir,Male,Cuba,Christian,Isabel,Female,India,Hindu,Priya,Female,Vietnam,Budhist,Minh,Male
Thailand,2,True,South Asia,Cuba,Christian,Alejandro,Male,Nepal,Hindu,Priya,Female,Sudan,Muslim,Khalid,Male,Thailand,Budhist,Suthida,Female
Sudan,4,True,South Asia,Vietnam,Budhist,Linh,Female,Cuba,Christian,Carlos,Male,Sudan,Muslim,Amina,Female,Nepal,Hindu,Hari,Male
China,4,False,East Asia,Dominican Republic,Christian,Javier,Male,Uzbekistan,Muslim,Amina,Female,India,Hindu,Rohan,Male,China,Non-religious,Mei,Female
Nepal,4,False,South Asia,Dominican Republic,Christian,Carlos,Male,China,Non-religious,Mei,Female,Uzbekistan,Muslim,Amina,Female,Nepal,Hindu,Rajan,Male
Thailand,4,False,Southeast Asia,Dominican Republic,Christian,Luis,Male,Uzbekistan,Muslim,Amina,Female,China,Non-religious,Kai,Male,Thailand,Budhist,Niran,Female
Uzbekistan,2,True,Southeast Asia,Dominican Republic,Christian,Maria,Female,Vietnam,Budhist,Linh,Female,China,Non-religious,Chen,Male,Uzbekistan,Muslim,Farid,Male
Dominican Republic,4,False,Caribbean,Uzbekistan,Muslim,Akmal,Male,India,Hindu,Priya,Female,Japan,Shintoist,Kenji,Male,Dominican Republic,Christian,Maria,Female
Nepal,4,True,Central Asia,Nepal,Hindu,Aarav,Male,Dominican Republic,Christian,Maria,Female,Japan,Shintoist,Yuki,Female,Uzbekistan,Muslim,Timur,Male
Dominican Republic,4,False,Caribbean,Japan,Shintoist,Hiroshi,Male,Uzbekistan,Muslim,Aisha,Female,Thailand,Budhist,Niran,Male,Dominican Republic,Christian,Isabella,Female
Vietnam,4,True,East Asia,Uzbekistan,Muslim,Ahmad,Male,Dominican Republic,Christian,Sofia,Female,Vietnam,Budhist,Linh,Female,Japan,Shintoist,Kenji,Male
India,3,False,South Asia,Uzbekistan,Muslim,Amir,Male,Thailand,Budhist,Suriya,Female,India,Hindu,Raj,Male,Dominican Republic,Christian,Maria,Female
India,3,False,South Asia,Dominican Republic,Christian,Carlos,Male,Uzbekistan,Muslim,Amina,Female,India,Hindu,Raj,Male,Vietnam,Budhist,Linh,Female
Dominican Republic,4,True,South Asia,Uzbekistan,Muslim,Rashid,Male,Dominican Republic,Christian,Camila,Female,Thailand,Budhist,Suriya,Female,Nepal,Hindu,Pradeep,Male
Nepal,2,False,South Asia,Uzbekistan,Muslim,Amir,Male,Nepal,Hindu,Sita,Female,Vietnam,Budhist,Linh,Female,Dominican Republic,Christian,Diego,Male
India,2,True,Middle East,China,Non-religious,Wei,Male,Iran,Muslim,Zara,Female,Dominican Republic,Christian,Mateo,Male,India,Hindu,Lakshmi,Female
Iran,1,True,South Asia,Nepal,Hindu,Arjun,Male,Iran,Muslim,Leila,Female,China,Non-religious,Wei,Male,Dominican Republic,Christian,Sofia,Female
China,3,False,East Asia,Dominican Republic,Christian,Rafael,Male,Iran,Muslim,Leila,Female,China,Non-religious,Chen,Male,Thailand,Budhist,Niran,Female
China,3,True,Southeast Asia,China,Non-religious,Ming,Female,Iran,Muslim,Amir,Male,Vietnam,Budhist,Linh,Female,Dominican Republic,Christian,Rosa,Female
Iraq,4,True,South Asia,Iraq,Muslim,Amir,Male,China,Non-religious,Wei,Female,Dominican Republic,Christian,Sofia,Female,India,Hindu,Raj,Male
Dominican Republic,3,True,Middle East,Nepal,Hindu,Raj,Male,Dominican Republic,Christian,Maria,Female,Iraq,Muslim,Amir,Male,China,Non-religious,Lin,Female
China,3,False,East Asia,Dominican Republic,Christian,Carlos,Male,Thailand,Budhist,Anong,Female,China,Non-religious,Wei,Male,Iraq,Muslim,Amina,Female
China,2,False,East Asia,Vietnam,Budhist,Linh,Female,China,Non-religious,Wei,Male,Dominican Republic,Christian,Rosa,Female,Iraq,Muslim,Amir,Male
Dominican Republic,2,False,Caribbean,India,Hindu,Aditi,Female,Dominican Republic,Christian,Miguel,Male,China,Non-religious,Wei,Male,Turkey,Muslim,Leyla,Female
Turkey,1,True,Caribbean,Dominican Republic,Christian,Javier,Male,China,Non-religious,Mei,Female,Turkey,Muslim,Kemal,Male,Nepal,Hindu,Anjali,Female
China,4,False,East Asia,Thailand,Budhist,Niran,Male,Dominican Republic,Christian,Isabel,Female,Turkey,Muslim,Emre,Male,China,Non-religious,Lian,Female
China,2,True,Southeast Asia,China,Non-religious,Wei,Male,Vietnam,Budhist,An,Female,Turkey,Muslim,Emre,Male,Dominican Republic,Christian,Lucia,Female
Algeria,3,False,North Africa,China,Non-religious,Wei,Female,Dominican Republic,Christian,Carlos,Male,Algeria,Muslim,Amal,Female,India,Hindu,Rohan,Male
China,2,True,North Africa,China,Non-religious,Wei,Female,Algeria,Muslim,Ahmed,Male,Nepal,Hindu,Sita,Female,Dominican Republic,Christian,Carlos,Male
Algeria,4,True,Caribbean,Algeria,Muslim,Amina,Female,Thailand,Budhist,Niran,Male,China,Non-religious,Wei,Female,Dominican Republic,Christian,Carlos,Male
Vietnam,2,True,East Asia,Vietnam,Budhist,Linh,Female,China,Non-religious,Wei,Male,Algeria,Muslim,Amina,Female,Dominican Republic,Christian,Javier,Male
Dominican Republic,2,True,North Africa,China,Non-religious,Wei,Male,Egypt,Muslim,Amina,Female,Dominican Republic,Christian,Rafael,Male,India,Hindu,Priya,Female
Dominican Republic,4,True,East Asia,Dominican Republic,Christian,Rafael,Male,Egypt,Muslim,Amina,Female,Nepal,Hindu,Sita,Female,China,Non-religious,Wei,Male
Egypt,4,True,Southeast Asia,China,Non-religious,Li,Female,Dominican Republic,Christian,Rafael,Male,Egypt,Muslim,Fatima,Female,Thailand,Budhist,Somchai,Male
Vietnam,2,True,North Africa,Vietnam,Budhist,Linh,Female,Egypt,Muslim,Amir,Male,Dominican Republic,Christian,Juan,Male,China,Non-religious,Mei,Female
Sudan,4,True,Caribbean,China,Non-religious,Mei,Female,India,Hindu,Arjun,Male,Sudan,Muslim,Fatima,Female,Dominican Republic,Christian,Carlos,Male
Nepal,2,False,South Asia,Dominican Republic,Christian,Carlos,Male,Nepal,Hindu,Priya,Female,Sudan,Muslim,Amir,Male,China,Non-religious,Li,Female
Dominican Republic,2,False,Caribbean,China,Non-religious,Lin,Female,Dominican Republic,Christian,Rafael,Male,Thailand,Budhist,Suriya,Female,Sudan,Muslim,Amin,Male
China,3,False,East Asia,Vietnam,Budhist,Minh,Male,Dominican Republic,Christian,Altagracia,Female,China,Non-religious,Wei,Female,Sudan,Muslim,Amina,Female
Bangladesh,4,True,East Asia,Thailand,Budhist,Arun,Male,Dominican Republic,Christian,Maria,Female,Bangladesh,Muslim,Aisha,Female,China,Non-religious,Chen,Male
China,3,True,Southeast Asia,China,Non-religious,Wei,Male,Dominican Republic,Christian,Maria,Female,Vietnam,Budhist,Linh,Female,Bangladesh,Muslim,Faruq,Male
Thailand,4,True,South Asia,Dominican Republic,Christian,Alejandro,Male,China,Non-religious,Ming,Female,Thailand,Budhist,Ananda,Male,India,Hindu,Priya,Female
China,4,True,Caribbean,China,Non-religious,Wei,Male,Vietnam,Budhist,Linh,Female,India,Hindu,Raj,Male,Dominican Republic,Christian,Carmen,Female
Nepal,2,False,South Asia,China,Non-religious,Wei,Male,Nepal,Hindu,Sita,Female,Thailand,Budhist,Anong,Male,Dominican Republic,Christian,Maria,Female
Vietnam,3,True,Caribbean,Vietnam,Budhist,Lan,Female,Nepal,Hindu,Rishi,Male,Dominican Republic,Christian,Mateo,Male,China,Non-religious,Mei,Female
Thailand,2,True,East Asia,Thailand,Budhist,Somchai,Male,China,Non-religious,Mei,Female,Dominican Republic,Christian,Juan,Male,Pakistan,Muslim,Aisha,Female
Dominican Republic,3,True,Southeast Asia,Dominican Republic,Christian,Maria,Female,China,Non-religious,Li,Male,Vietnam,Budhist,An,Male,Pakistan,Muslim,Amina,Female
Japan,3,True,Caribbean,Iran,Muslim,Amir,Male,India,Hindu,Priya,Female,Dominican Republic,Christian,Carlos,Male,Japan,Shintoist,Yuki,Female
Japan,4,False,East Asia,Dominican Republic,Christian,Javier,Male,Nepal,Hindu,Sita,Female,Iran,Muslim,Amir,Male,Japan,Shintoist,Haruto,Male
Dominican Republic,2,True,Middle East,Dominican Republic,Christian,Rosa,Female,Iran,Muslim,Amir,Male,Japan,Shintoist,Yuki,Female,Thailand,Budhist,Somchai,Male
Iran,1,False,Middle East,Iran,Muslim,Amir,Male,Dominican Republic,Christian,Rosa,Female,Vietnam,Budhist,Le,Female,Japan,Shintoist,Haruto,Male
Iraq,4,True,East Asia,India,Hindu,Aisha,Female,Dominican Republic,Christian,Carlos,Male,Iraq,Muslim,Ahmed,Male,Japan,Shintoist,Yuki,Female
Dominican Republic,2,True,South Asia,Iraq,Muslim,Amir,Male,Nepal,Hindu,Priya,Female,Dominican Republic,Christian,Gabriel,Male,Japan,Shintoist,Akiko,Female
Dominican Republic,3,False,Caribbean,Japan,Shintoist,Haruto,Male,Thailand,Budhist,Anong,Female,Dominican Republic,Christian,Miguel,Male,Iraq,Muslim,Layla,Female
Dominican Republic,3,False,Caribbean,Japan,Shintoist,Haruki,Male,Iraq,Muslim,Leila,Female,Dominican Republic,Christian,Carlos,Male,Vietnam,Budhist,Mai,Female
Turkey,2,True,Caribbean,Japan,Shintoist,Haruto,Male,Dominican Republic,Christian,Maria,Female,Turkey,Muslim,Mehmet,Male,India,Hindu,Priya,Female
Turkey,4,False,Middle East,Japan,Shintoist,Haruto,Male,Dominican Republic,Christian,Ana,Female,Nepal,Hindu,Sita,Female,Turkey,Muslim,Mehmet,Male
Japan,4,True,Middle East,Dominican Republic,Christian,Miguel,Male,Thailand,Budhist,Suriya,Female,Japan,Shintoist,Hana,Female,Turkey,Muslim,Aydin,Male
Dominican Republic,2,True,Middle East,Dominican Republic,Christian,Daniela,Female,Turkey,Muslim,Kemal,Male,Japan,Shintoist,Haruto,Male,Vietnam,Budhist,Linh,Female
Japan,2,True,South Asia,Algeria,Muslim,Amir,Male,India,Hindu,Priya,Female,Japan,Shintoist,Haruto,Male,Dominican Republic,Christian,Sofia,Female
Dominican Republic,3,False,Caribbean,Japan,Shintoist,Hiroshi,Male,Nepal,Hindu,Sita,Female,Dominican Republic,Christian,Miguel,Male,Algeria,Muslim,Nadia,Female
Japan,2,False,East Asia,Dominican Republic,Christian,Carlos,Male,Japan,Shintoist,Akiko,Female,Algeria,Muslim,Amir,Male,Thailand,Budhist,Niran,Female
Vietnam,4,True,Caribbean,Algeria,Muslim,Malik,Male,Vietnam,Budhist,Linh,Female,Japan,Shintoist,Haruto,Male,Dominican Republic,Christian,Sofia,Female
Japan,3,True,South Asia,Egypt,Muslim,Amir,Male,Dominican Republic,Christian,Isabella,Female,India,Hindu,Rohan,Male,Japan,Shintoist,Akiko,Female
Dominican Republic,2,False,Caribbean,Egypt,Muslim,Amir,Male,Dominican Republic,Christian,Sofia,Female,Nepal,Hindu,Ramesh,Male,Japan,Shintoist,Aiko,Female
Japan,4,True,Southeast Asia,Dominican Republic,Christian,Emilio,Male,Egypt,Muslim,Ayesha,Female,Japan,Shintoist,Haruto,Male,Thailand,Budhist,Mali,Female
Dominican Republic,4,True,Southeast Asia,Japan,Shintoist,Haruki,Male,Dominican Republic,Christian,Isabella,Female,Egypt,Muslim,Amir,Male,Vietnam,Budhist,Linh,Female
India,4,False,South Asia,Japan,Shintoist,Kenji,Male,Dominican Republic,Christian,Maria,Female,Sudan,Muslim,Amir,Male,India,Hindu,Priya,Female
